Country,Capital City,Latitude,Longitude
Algeria,Algiers,36.7538,3.0588
Angola,Luanda,-8.8383,13.2344
Benin,Porto-Novo,6.4969,2.6289
Botswana,Gaborone,-24.6282,25.9231
Burkina Faso,Ouagadougou,12.3714,-1.5197
Burundi,Gitega,-3.4264,29.9306
Cabo Verde,Praia,14.9331,-23.5133
Cameroon,Yaoundé,3.848,11.5021
Central African Republic,Bangui,4.3947,18.5582
Chad,N'Djamena,12.1348,15.0557
Comoros,Moroni,-11.6986,43.2551
Democratic Republic of the Congo,Kinshasa,-4.4419,15.2663
Republic of the Congo,Brazzaville,-4.2634,15.2429
Côte d’Ivoire,Yamoussoukro,6.8276,-5.2893
Djibouti,Djibouti,11.5721,43.1456
Egypt,Cairo,30.0444,31.2357
Equatorial Guinea,Malabo,3.75,8.7833
Eritrea,Asmara,15.3229,38.9251
Eswatini,Mbabane,-26.3054,31.1367
Ethiopia,Addis Ababa,9.03,38.74
Gabon,Libreville,0.4162,9.4673
The Gambia,Banjul,13.4549,-16.579
Ghana,Accra,5.6037,-0.187
Guinea,Conakry,9.6412,-13.5784
Guinea-Bissau,Bissau,11.8636,-15.5977
Kenya,Nairobi,-1.2864,36.8172
Lesotho,Maseru,-29.3158,27.4854
Liberia,Monrovia,6.3156,-10.8074
Libya,Tripoli,32.8872,13.1913
Madagascar,Antananarivo,-18.8792,47.5079
Malawi,Lilongwe,-13.9833,33.7833
Mali,Bamako,12.6392,-8.0029
Mauritania,Nouakchott,18.078,-15.9744
Mauritius,Port Louis,-20.1609,57.5012
Morocco,Rabat,34.0209,-6.8416
Mozambique,Maputo,-25.9692,32.5732
Namibia,Windhoek,-22.5597,17.0832
Niger,Niamey,13.5128,2.1127
Nigeria,Abuja,9.0579,7.4951
Rwanda,Kigali,-1.9441,30.0619
São Tomé and Príncipe,São Tomé,0.3365,6.7273
Senegal,Dakar,14.6928,-17.4467
Seychelles,Victoria,-4.6191,55.4513
Sierra Leone,Freetown,8.4657,-13.2317
Somalia,Mogadishu,2.0469,45.3182
South Africa,Pretoria,-25.7479,28.2293
South Sudan,Juba,4.8594,31.5713
Sudan,Khartoum,15.5007,32.5599
Tanzania,Dodoma,-6.163,35.7516
Togo,Lomé,6.1725,1.2314
Tunisia,Tunis,36.8065,10.1815
Uganda,Kampala,0.3476,32.5825
Zambia,Lusaka,-15.3875,28.3228
Zimbabwe,Harare,-17.8292,31.0522
