Rank,Company name,Brand,Location,Sector,Absolute growth rate (%),Compound annual growth rate (%),Revenue 2024 ($mn),Revenue 2021 ($mn),Number of employees 2024,Number of employees 2021,Founding year
1,Thndr Technology Holding for Financial Investments,Thndr,Egypt,"Fintech, Financial Services & Insurance","6,851.49",311.17,8.02,0.12,247,68,2020
2,Sabi Holdings Inc,Sabi,Nigeria,Metals & Mining,"2,953.41",212.56,46.5,1.52,261,125,2021
3,Regulus Investment and Financial Services Ltd,Regulus,Ghana,"Fintech, Financial Services & Insurance","2,315.87",189.08,2.34,0.23,7,5,2019
4,Haul247 Technology Inc,Haul247,Nigeria,Logistics & Transportation,"1,816.67",167.62,1.93,0.1,30,5,2020
5,Inkomoko Entrepreneur Development Ltd,Inkomoko,Rwanda,"Fintech, Financial Services & Insurance","1,794.90",166.6,3.92,0.28,197,67,2013
6,Fieldbar Pty Ltd,Fieldbar,South Africa,Manufacturing,"1,693.73",161.77,7.12,0.47,100,20,2020
7,Heirs Life Assurance Ltd,Heirs Life,Nigeria,"Fintech, Financial Services & Insurance","1,422.46",147.85,28.72,7.17,83,43,2020
8,Remedial Health Inc,Remedial Health,Nigeria,Pharmaceuticals & Cosmetics,"1,383.42",145.71,12.53,0.84,470,8,2020
9,Future Forex SA Pty Ltd,Future Forex,South Africa,"Fintech, Financial Services & Insurance","1,294.68",140.71,7.77,0.66,95,15,2020
10,New Mauritius Hotels Ltd,Beachcomber Resorts & Hotels,Mauritius,Hospitality & Travel,"1,255.37",138.43,328.32,25.98,"4,987","5,052",1952
11,Currenzo Nigeria Ltd,Africhange,Nigeria,"Fintech, Financial Services & Insurance","1,104.39",129.22,2.3,0.22,68,6,2020
12,Rank Capital Inc,Rank Capital,Nigeria,"Fintech, Financial Services & Insurance","1,062.68",126.55,4.65,0.4,57,10,2020
13,General Printers 2021 Ltd,General Printers 2021,Kenya,Manufacturing,943.03,118.49,7.36,0.8,128,52,2021
14,Numida Technologies Inc,Numida,Uganda,"Fintech, Financial Services & Insurance",887.15,114.52,6.37,0.65,155,55,2015
15,Nedbank Group Ltd,Nedbank,South Africa,"Fintech, Financial Services & Insurance",738.98,103.2,7.35,1.04,"26,140","26,900",2005
16,Commercio Partners Ltd,Comercio Partners,Nigeria,"Fintech, Financial Services & Insurance",730.41,102.5,8.26,3.78,58,36,2016
17,Altacon Projects Pty Ltd,Altacon Projects,South Africa,Construction & Engineering,700.61,100.05,4.89,0.73,127,50,2015
18,McNichols Consolidated Plc,McNichols,Nigeria,Food & Beverages,650.03,95.75,3.77,1.91,42,72,2005
19,Termii Inc,Termii,Nigeria,Media & Telecommunications,646.7,95.46,2.53,1.29,50,10,2017
20,CrossBoundary Energy Holdings,CrossBoundary Energy,Mauritius,Energy & Utilities,630.87,94.07,6.05,0.83,66,14,2015
21,Paymenow Group Pty Ltd,Paymenow,South Africa,"Fintech, Financial Services & Insurance",603.29,91.59,7.28,1.23,42,5,2019
22,Balloon Ventures Ltd,Balloon Ventures,Uganda,"Fintech, Financial Services & Insurance",583.48,89.78,2.04,0.3,37,8,2017
23,GoTyme Bank Ltd,GoTyme Bank,South Africa,"Fintech, Financial Services & Insurance",535.78,85.25,84.42,15.76,696,325,2015
24,Mkhwanazi and Ngubane Pty Ltd,Avatar Agency Group,South Africa,Advertising & Marketing,473.49,79,36.12,6.3,231,116,2012
25,Geotheta Pty Ltd,Geotheta,South Africa,Construction & Engineering,465.39,78.15,3.76,0.79,20,11,2015
26,African Rail Company Ltd,African Rail Company,Mozambique,Logistics & Transportation,448.49,76.36,10.85,1.98,64,17,2013
27,Wicorp Pty Ltd,WiSolar,South Africa,Energy & Utilities,418.93,73.13,5.77,1.32,105,59,2016
28,OmniRetail Inc,OmniRetail,Nigeria,E-commerce,412.32,72.39,54.24,40.26,565,336,2020
29,Turaco Microinsurance Ltd,Turaco,Kenya,"Fintech, Financial Services & Insurance",408.9,72.01,7.46,1.47,75,48,2018
30,i-Fitness Centre Ltd,i-Fitness,Nigeria,Leisure & Entertainment,402.54,71.29,5.9,4.46,607,400,2015
31,GoBid Pty Ltd,GoBid,South Africa,Automotive,390.06,69.86,32.38,7.84,314,108,2020
32,Redtech Ltd,Redtech,Nigeria,"Fintech, Financial Services & Insurance",388.37,69.66,4.47,3.48,55,14,2019
33,Forklift Handling Pty Ltd,Forklift Handling,South Africa,Wholesale,386.55,69.45,2.51,0.61,40,8,2016
34,Aldelia Africa,Aldelia,Mauritius,Employment Services,362.75,66.64,65.05,14.06,170,99,2005
35,Medine Ltd,Medine,Mauritius,"Agriculture, Forestry & Fishing",360.85,66.41,117.31,27.31,948,880,1911
36,BUA Foods Plc,BUA Foods,Nigeria,Manufacturing,358.46,66.13,992.16,822.89,"3,566","1,890",2021
37,Consulmet Pty Ltd,Consulmet,South Africa,Mechanical & Plant Engineering,355.87,65.81,83.37,21.71,133,69,2004
38,Beau Vallon Hospitality Ltd,Beau Vallon Hospitality,Mauritius,Hospitality & Travel,334.28,63.15,24.45,6.04,700,300,1985
39,Sundry Markets Ltd,Marketsquare,Nigeria,Retail,330.54,62.68,93.81,82.86,"3,181","2,286",2014
40,Mylerz Egypt For Logistics and Technology Services,Myerz,Egypt,Logistics & Transportation,322.27,61.63,10.94,2.59,"1,281",416,2019
41,Heirs General Insurance Ltd,Heirs General Insurance,Nigeria,"Fintech, Financial Services & Insurance",309.76,60.02,9.3,8.63,103,46,2020
42,My Credit Investment Ltd,Fairmoney Microfinance Bank,Nigeria,"Fintech, Financial Services & Insurance",291.57,57.62,75.73,73.54,"1,067",294,2017
43,MQ Finance Pty Ltd,Marquis Finance,South Africa,"Fintech, Financial Services & Insurance",289.53,57.34,20.55,6.26,114,58,2019
44,Globe MedEx for Trade and Distribution,Globe Medex,Egypt,Pharmaceuticals & Cosmetics,283.09,56.47,2.38,2.02,15,12,2017
45,City Lodge Hotels Ltd,City Lodge Hotels,South Africa,Hospitality & Travel,280.87,56.17,103.04,32.11,"1,310","1,148",1985
46,Omnisient Rf Pty Ltd,Omnisient,South Africa,"Fintech, Financial Services & Insurance",263.38,53.74,2.34,0.77,40,17,2019
47,Electrum Payments Pty Ltd,Electrum,South Africa,IT & Software,255.89,52.68,14.88,4.96,118,83,2012
48,Hubtel Ltd,Hubtel,Ghana,"Fintech, Financial Services & Insurance",255.56,52.63,63.68,17.91,697,151,2005
49,Interplast Ltd,Interplast,Ghana,Manufacturing,230.38,48.94,78.98,57.88,734,468,1971
50,Solar MD Pty Ltd,Solar MD,South Africa,Manufacturing,228.21,48.61,24.75,8.95,104,45,2014
51,Coimbra Confectionery Pty Ltd,Pie in the Sky,South Africa,Food & Beverages,225.77,48.24,9.04,3.29,210,110,1992
52,Zendascape Pty Ltd,Aura,South Africa,IT & Software,218.64,47.15,6.66,2.48,85,23,2017
53,Washirika 3 Oaks Pty Ltd,W3O,South Africa,Construction & Engineering,217.75,47.01,28.41,10.61,262,105,2005
54,Sourcefin Pty Ltd,Sourcefin,South Africa,"Fintech, Financial Services & Insurance",216.97,46.9,10.16,3.81,35,18,2020
55,Hot1027 FM Pty Ltd,Hot 1027,South Africa,Media & Telecommunications,208.8,45.62,5.68,2.19,56,37,1996
56,Froozels Food Products Pty Ltd,Froozels,South Africa,Food & Beverages,205.3,45.07,9.98,3.88,133,62,2013
57,Drive24 Pty Ltd,Drive.co.za,South Africa,Automotive,199.51,44.15,6.22,2.47,36,8,2020
58,Fasta Pty Ltd,Fasta,South Africa,"Fintech, Financial Services & Insurance",195.5,43.5,10.5,4.22,30,22,2017
59,Lapaire Glasses Côte d'Ivoire SARL,Lapaire,Cote D'Ivoire,Health Care & Life Sciences,195.14,43.44,5.47,1.85,429,142,2018
60,Granor Passi Pty Ltd,Granor Passi,South Africa,Food & Beverages,193.78,43.22,108.65,43.89,453,431,1957
61,Padenga Holdings Ltd,Padenga,Zimbabwe,Metals & Mining,192.99,43.09,222.96,76.1,"1,830",808,1965
62,M-Kopa Holdings Ltd,M-Kopa,Kenya,"Fintech, Financial Services & Insurance",192.51,43.01,417.99,142.9,"1,771",766,2011
63,Axian Telecom,Yas,Mauritius,Media & Telecommunications,189.57,42.53,"1,406.92",485.86,"5,217","3,219",2003
64,Face Africa Tax & Legal,Face Africa Tax & Legal (Member of WTS Global),Senegal,"Fintech, Financial Services & Insurance",188.65,42.38,2.2,0.82,35,14,2011
65,Agro Supply Ltd,Agro Supply,Uganda,"Agriculture, Forestry & Fishing",183.34,41.5,4.08,1.5,30,9,2017
66,CFO360 Pty Ltd,CFO360,South Africa,"Fintech, Financial Services & Insurance",169.46,39.16,2.85,1.25,67,25,2016
67,Kenya Airways Plc,Kenya Airways,Kenya,Hospitality & Travel,168.43,38.98,"1,462.90",621.15,"4,705","3,544",1977
68,GBSH Consult Group,gsbh,South Africa,Management consulting,164.2,38.24,47.75,21.45,"7,200","4,700",1997
69,Al Watania Water Technologies,Al Watania Water Technologies,Egypt,Energy & Utilities,154.21,36.48,2.95,1.16,40,20,2003
70,Elenjical Solutions Pty Ltd,Elenjical Solutions,South Africa,"Fintech, Financial Services & Insurance",145.62,34.92,10.07,4.87,123,68,2013
71,Risma SA,Risma,Morocco,Hospitality & Travel,140.78,34.03,125.09,56.61,"1,193",863,1993
