Entity,Code,Year,Share of population in poverty ($3 a day),Population,World region according to OWID
Ethiopia,ETH,1981,,35304010,Africa
Ethiopia,ETH,1982,,36701293,Africa
Ethiopia,ETH,1983,,37740821,Africa
Ethiopia,ETH,1984,,38735728,Africa
Ethiopia,ETH,1985,,39842136,Africa
Ethiopia,ETH,1986,,41037658,Africa
Ethiopia,ETH,1987,,42460039,Africa
Ethiopia,ETH,1988,,44150834,Africa
Ethiopia,ETH,1989,,45879686,Africa
Ethiopia,ETH,1990,,47609760,Africa
Ethiopia,ETH,1991,,49717203,Africa
Ethiopia,ETH,1992,,51853756,Africa
Ethiopia,ETH,1993,,53708892,Africa
Ethiopia,ETH,1994,,55611514,Africa
Ethiopia,ETH,1995,73.51546883583069,57537340,Africa
Ethiopia,ETH,1996,,59467640,Africa
Ethiopia,ETH,1997,,61404541,Africa
Ethiopia,ETH,1998,,63363523,Africa
Ethiopia,ETH,1999,65.88854193687439,65374561,Africa
Ethiopia,ETH,2000,,67411496,Africa
Ethiopia,ETH,2001,,69487767,Africa
Ethiopia,ETH,2002,,71635521,Africa
Ethiopia,ETH,2003,,73832664,Africa
Ethiopia,ETH,2004,41.32879078388214,76077211,Africa
Ethiopia,ETH,2005,,78367476,Africa
Ethiopia,ETH,2006,,80703495,Africa
Ethiopia,ETH,2007,,83103218,Africa
Ethiopia,ETH,2008,,85543670,Africa
Ethiopia,ETH,2009,,88007641,Africa
Ethiopia,ETH,2010,37.40920126438141,90538518,Africa
Ethiopia,ETH,2011,,93149977,Africa
Ethiopia,ETH,2012,,95798771,Africa
Ethiopia,ETH,2013,,98438752,Africa
Ethiopia,ETH,2014,,101115615,Africa
Ethiopia,ETH,2015,32.99904465675354,103867140,Africa
Ethiopia,ETH,2016,,106718163,Africa
Ethiopia,ETH,2017,,109666482,Africa
Ethiopia,ETH,2018,,112664157,Africa
Ethiopia,ETH,2019,,115737384,Africa
Ethiopia,ETH,2020,,118917670,Africa
Ethiopia,ETH,2021,38.636115193367004,122138588,Africa
Ethiopia,ETH,2022,,125384285,Africa
