observation_date,Vietnam,Indonesia,Malaysia,Thailand,The Philippines,Peru,Mexico,Chile,Colombia,Republic of Korea,Hong Kong SAR,Singapore,South Africa,Ethiopia,Ghana,Nigeria,Mozambique,Kenya
1960-01-01,,597.734506697936,1266.31525712689,592.465635112506,1123.78209980486,2704.36949914585,4145.79302184391,3222.68320691095,1961.22914417260,1037.72899231615,,3611.95365142064,3993.43679652042,,1100.763052182420,1454.98091927783,,792.958020207348
1961-01-01,,614.678000352920,1327.77650865403,606.205592712551,1150.62906586528,2819.64448663957,4219.18150869443,3330.52707974518,1998.42316206119,1077.10464038579,3956.03418038360,3777.39463491526,4032.22272450370,231.020311732483,1106.494567855360,1428.11709253028,,704.532413221054
1962-01-01,,608.672830748941,1376.65800987085,632.983035716153,1168.60880125748,3013.56779249399,4276.14326508853,3391.27067852121,2042.63527704771,1087.79362228726,4333.86159954119,3951.76046995379,4155.85711467972,235.017038203337,1124.533164110110,1455.81737398163,,742.214802683441
1963-01-01,,578.480952858822,1439.55490061108,663.554365825920,1211.82149959902,3054.09341665986,4474.72750864397,3512.57010027390,2046.30756363644,1153.23486916692,4847.35749953763,4239.99266151220,4329.07391977209,239.386778488611,1146.372810804060,1547.48395499883,,776.614053203860
1964-01-01,,582.039622009982,1477.83156448895,688.017307298417,1214.70925760191,3161.27865870871,4845.87442780417,3528.85792654120,2108.00878137941,1229.36998908154,5139.81426157932,4004.45879353131,4532.23430548773,242.704624004673,1144.138327368840,1589.68156021193,,783.777273902912
1965-01-01,,573.642474075567,1551.33616738207,722.392299176819,1241.10921652117,3244.42752499768,5021.34799289490,3485.36104672350,2119.99498736563,1286.16625407866,5739.58704003144,4214.50928654512,4664.09699107786,249.912231375365,1132.307026405240,1631.55987468263,,768.312009345226
1966-01-01,,575.863301570169,1631.47589814079,779.304978301365,1257.98440669165,3413.00557819899,5153.81469089099,3813.48804203720,2167.35670771429,1404.83811121824,5791.09086354276,4529.52603020969,4722.49942007925,261.150022934557,1058.323480603550,1528.59450365696,,847.028481793247
1967-01-01,,568.830963804607,1654.76507573676,822.065821475732,1285.29310102980,3445.54689195427,5278.10822022788,3879.66399521903,2194.44365471957,1498.01049644544,5737.11950073169,4984.78417700352,4906.85685086378,264.675697737817,1064.839418053260,1260.72712413534,,841.449011083599
1968-01-01,,614.066837154833,1746.69654709275,863.617164738641,1311.52148738311,3355.06834981307,5589.05119200198,3948.30026572163,2262.17424281179,1657.18854005249,5807.39164795234,5562.32007695611,4953.80064833126,268.128469203589,1043.066525404060,1218.43317476044,,873.396320093881
1969-01-01,,638.076485696931,1791.13966548692,894.636115562961,1334.73174869948,3377.29242666322,5596.39687793608,4040.00580118060,2338.10714398443,1856.48418780744,6363.72174870094,6237.25093664419,5029.64691362757,264.474885993220,1078.403571335490,1480.04711892566,,906.636182608442
1970-01-01,,667.649761220022,1855.24673850886,969.511716318085,1348.64912771152,3404.48746273535,5774.77045926420,4039.58221003868,2421.22502270787,2001.04656436772,6782.65997654787,6997.19902931212,5135.56150268950,266.245461715207,1152.051767102670,1808.39459103973,,831.801819281121
1971-01-01,,695.446971500357,1993.49999498673,989.909220029885,1388.24899930969,3474.09968688628,5809.39879118197,4353.53619549239,2504.49731055786,2170.96469681320,7122.07551634489,7722.86451179110,5200.74321808270,275.976263514282,1179.060743753020,2018.17321464601,,980.029449369286
1972-01-01,,724.833992058908,2128.90738683232,1005.144546734980,1430.58532244744,3500.78314670801,6099.20317390896,4252.43567121887,2634.72068551099,2286.93666830827,7728.27233689255,8590.60864812538,5137.37692437712,280.058137263866,1117.823152724210,2036.69397821361,,1108.227140850080
