Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","024","Angola","5510","Production","01640","Cocoa beans","2022","2022","t","450.17","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5510","Production","01610","Coffee, green","2022","2022","t","16767","A","Official figure",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01640","Cocoa beans","2022","2022","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01610","Coffee, green","2022","2022","t","55.3","E","Estimated value",""
"QCL","Crops and livestock products","108","Burundi","5510","Production","01610","Coffee, green","2022","2022","t","17220.45","I","Imputed value",""
"QCL","Crops and livestock products","108","Burundi","5510","Production","01620","Tea leaves","2022","2022","t","50400","E","Estimated value",""
"QCL","Crops and livestock products","132","Cabo Verde","5510","Production","01610","Coffee, green","2022","2022","t","47","A","Official figure",""
"QCL","Crops and livestock products","120","Cameroon","5510","Production","01640","Cocoa beans","2022","2022","t","300000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","120","Cameroon","5510","Production","01610","Coffee, green","2022","2022","t","26370.64","I","Imputed value",""
"QCL","Crops and livestock products","120","Cameroon","5510","Production","01620","Tea leaves","2022","2022","t","5505.87","E","Estimated value",""
"QCL","Crops and livestock products","140","Central African Republic","5510","Production","01640","Cocoa beans","2022","2022","t","134.13","E","Estimated value",""
"QCL","Crops and livestock products","140","Central African Republic","5510","Production","01610","Coffee, green","2022","2022","t","306900.66","A","Official figure",""
"QCL","Crops and livestock products","174","Comoros","5510","Production","01640","Cocoa beans","2022","2022","t","42.54","E","Estimated value",""
"QCL","Crops and livestock products","174","Comoros","5510","Production","01610","Coffee, green","2022","2022","t","141.49","E","Estimated value",""
"QCL","Crops and livestock products","178","Congo","5510","Production","01640","Cocoa beans","2022","2022","t","20000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","178","Congo","5510","Production","01610","Coffee, green","2022","2022","t","3118.63","E","Estimated value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2022","2022","t","2230000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01610","Coffee, green","2022","2022","t","70000","E","Estimated value",""
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5510","Production","01640","Cocoa beans","2022","2022","t","20000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5510","Production","01610","Coffee, green","2022","2022","t","58837.36","I","Imputed value",""
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5510","Production","01620","Tea leaves","2022","2022","t","2981.2","I","Imputed value",""
