Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1961","1961","ha","4403381","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1962","1962","ha","4468672","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1963","1963","ha","4515935","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1964","1964","ha","4544137","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1965","1965","ha","4591284","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1966","1966","ha","4076650","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1967","1967","ha","4220776","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1968","1968","ha","4079239","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1969","1969","ha","4260037","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1970","1970","ha","4358444","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1971","1971","ha","4423250","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1972","1972","ha","4299294","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1973","1973","ha","4316614","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1974","1974","ha","4398742","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1975","1975","ha","4360617","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1976","1976","ha","4309551","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1977","1977","ha","4436702","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1978","1978","ha","4581485","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1979","1979","ha","4632686","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1980","1980","ha","4740285","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1981","1981","ha","4848246","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1982","1982","ha","4678307","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1983","1983","ha","4658864","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1984","1984","ha","4768084","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1985","1985","ha","5045942","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1986","1986","ha","5247548","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1987","1987","ha","5274994","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1988","1988","ha","5655093","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1989","1989","ha","5514886","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1990","1990","ha","5721260","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1991","1991","ha","5654463","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1992","1992","ha","5726224","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1993","1993","ha","5675475","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1994","1994","ha","5762503","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1995","1995","ha","6556125","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1996","1996","ha","6652960","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1997","1997","ha","6435946","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1998","1998","ha","6672750","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","1999","1999","ha","6862088","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","2000","2000","ha","7613598","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","2001","2001","ha","7149274","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","2002","2002","ha","7013880","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","2003","2003","ha","7693381","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","2004","2004","ha","8514053","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","2005","2005","ha","8706714","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","2006","2006","ha","8514758","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","2007","2007","ha","8644002","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","2008","2008","ha","9561187","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","2009","2009","ha","9437648","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","2010","2010","ha","9592214","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","2011","2011","ha","10252360","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","2012","2012","ha","10314177","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","2013","2013","ha","10179505","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","2014","2014","ha","10579640","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","2015","2015","ha","10960760","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","01640","Cocoa beans","2016","2016","ha","10702311","E","Estimated value",""
