Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1961","1961","t","1186344","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1962","1962","t","1213517","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1963","1963","t","1280491","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1964","1964","t","1544590","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1965","1965","t","1229159","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1966","1966","t","1344376","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1967","1967","t","1390511","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1968","1968","t","1246581","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1969","1969","t","1418863","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1970","1970","t","1543399","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1971","1971","t","1638853","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1972","1972","t","1510723","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1973","1973","t","1402063","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1974","1974","t","1556439","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1975","1975","t","1561625","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1976","1976","t","1366511","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1977","1977","t","1452505","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1978","1978","t","1495374","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1979","1979","t","1659869","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1980","1980","t","1670637","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1981","1981","t","1735254","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1982","1982","t","1615319","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1983","1983","t","1604641","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1984","1984","t","1810579","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1985","1985","t","2013982","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1986","1986","t","2118377","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1987","1987","t","2055901","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1988","1988","t","2563305","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1989","1989","t","2640977","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1990","1990","t","2532122","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1991","1991","t","2521946.08","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1992","1992","t","2677030.92","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1993","1993","t","2672283.72","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1994","1994","t","2671268.65","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1995","1995","t","2985764.79","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1996","1996","t","3237670.67","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1997","1997","t","3017083.12","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1998","1998","t","3302840.27","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","1999","1999","t","2975444.16","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","2000","2000","t","3338446.71","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01640","Cocoa beans","2001","2001","t","3222354.04","E","Estimated value",""
