latitude,longitude,rwi,error
-4.6421296,34.4201660,-0.393,0.328
-4.7297265,35.8483887,-0.433,0.352
-4.6859294,33.7170410,-0.801,0.324
-4.0724942,33.4973145,-0.311,0.443
-5.4957038,32.5964355,-0.542,0.337
-4.0944111,32.3767090,-0.474,0.315
-5.1237722,31.1682129,-0.266,0.308
-5.8455454,37.0788574,-0.277,0.329
-6.6755194,36.2658691,-0.087,0.331
-7.0027636,33.4973145,-0.216,0.319
-7.5040887,31.2561035,-0.546,0.313
-9.1780244,34.9914551,-0.607,0.464
-4.9924497,34.6398926,-0.294,0.356
-3.3708564,37.6062012,0.061,0.427
-6.6318701,37.5402832,-0.681,0.343
-8.7656527,34.6179199,-0.594,0.308
-5.2988268,32.7722168,-0.128,0.329
-8.4397714,33.1457520,-0.779,0.310
-6.2170122,38.7048340,-0.340,0.359
-8.8959258,32.3327637,-0.217,0.327
-3.8313699,33.0578613,-0.247,0.381
-5.4738318,36.7272949,-0.415,0.331
-7.3733623,31.1682129,-0.452,0.317
-3.5901776,35.5627441,-0.347,0.319
-7.9613173,39.6936035,-0.618,0.388
-2.1198775,33.6291504,0.000,0.368
-3.0637244,37.6501465,0.281,0.338
-4.9486696,30.2893066,0.133,0.320
-2.6467632,32.3767090,-0.183,0.327
-6.7409861,37.0129395,-0.186,0.344
-2.8003980,32.9699707,-0.076,0.334
-10.3257277,39.0124512,-0.518,0.356
-9.6549077,34.9475098,-0.418,0.321
-1.5928123,34.6179199,0.045,0.300
-11.0166883,37.4084473,-0.549,0.323
-8.7656527,35.8923340,-0.377,0.316
-6.6973426,35.5847168,-0.280,0.333
-11.0598206,34.7497559,-0.367,0.304
-2.0320445,33.9147949,-0.296,0.314
-4.0067400,33.2556152,-0.229,0.333
-4.8611009,35.5847168,-0.461,0.345
-4.8173122,38.6828613,-0.374,0.310
-7.5040887,33.2775879,-0.352,0.308
-4.5983271,34.4641113,-0.440,0.326
-1.8783255,34.2883301,0.515,0.316
-8.9176335,36.2658691,-0.359,0.334
-4.5107140,34.7277832,-0.669,0.330
-5.7143797,30.3112793,-0.505,0.303
-5.4519589,38.6828613,-0.797,0.307
-5.2769476,32.2448730,-0.116,0.330
-4.8173122,34.9035645,-0.554,0.399
-7.3733623,39.3420410,-0.695,0.341
-5.7362428,35.8483887,-0.763,0.330
-3.9190595,30.2893066,0.314,0.295
-10.7361753,35.7824707,-0.495,0.303
-9.6332456,33.8708496,-0.070,0.402
-1.7685179,34.1345215,-0.109,0.304
-5.8674033,34.2663574,-0.495,0.325
-5.7143797,38.1774902,-0.414,0.312
-7.5912178,31.4978027,-0.254,0.339
-2.2955282,33.7390137,0.451,0.352
-1.9222467,31.4538574,-0.362,0.300
-10.6714043,38.8146973,-0.028,0.362
-2.8662354,33.3874512,-0.306,0.333
-6.4572344,39.5397949,-0.270,0.364
-8.0701072,33.0578613,-0.537,0.313
-4.0944111,31.9812012,-0.572,0.310
-4.4449973,34.5739746,-0.583,0.338
-7.8524985,31.8493652,-0.241,0.324
-6.2170122,35.5407715,-0.685,0.329
-9.1997151,33.9587402,-0.320,0.322
-7.1335976,39.1003418,-0.289,0.340
-11.0166883,37.8259277,-0.440,0.306
-5.4738318,32.9479980,-0.069,0.328
-5.9985331,30.7727051,-0.535,0.320
-6.3917304,31.1022949,-0.525,0.342
-3.4805234,32.3986816,-0.677,0.310
-8.3093413,31.3659668,-0.882,0.307
-8.6787785,39.1882324,-0.726,0.347
-9.5249141,34.8596191,-0.171,0.328
-4.2039864,32.8381348,-0.591,0.342
-4.5983271,37.8479004,-0.654,0.310
-8.9827489,36.2658691,-0.730,0.323
-4.1601581,33.6950684,-0.808,0.333
-4.9048867,33.0798340,-0.069,0.409
-5.2113056,34.7058105,-0.520,0.329
-7.7218784,36.0681152,0.000,0.345
-1.8344033,34.1564941,0.226,0.303
-4.2916356,35.6945801,-0.573,0.337
-6.3480564,30.7727051,-0.435,0.324
-8.3745618,33.5412598,-0.758,0.305
-5.2331870,31.7834473,-0.353,0.309
-10.6066195,38.1335449,-0.430,0.307
-2.0320445,31.5856934,-0.180,0.363
-8.4397714,34.7058105,-0.423,0.306
-7.4387304,38.6828613,-0.364,0.329
-3.2173020,33.6511230,-0.081,0.362
-9.9363874,37.5622559,-0.550,0.323
-3.4366581,35.3649902,-0.271,0.313
-3.0417830,32.8601074,-0.310,0.318
-9.5249141,39.3420410,-0.602,0.327
-3.2831139,33.5412598,-0.330,0.325
-4.0067400,35.1672363,-0.836,0.327
-3.3927908,33.5632324,-0.333,0.331
-5.3425828,33.5192871,-0.260,0.332
-3.0417830,34.4201660,-0.208,0.310
-8.1353671,31.6735840,-0.026,0.342
-10.6714043,35.2331543,-0.484,0.297
-7.1335976,30.5090332,-0.752,0.317
-5.6050520,38.1115723,-0.094,0.317
-2.9101249,32.6403809,-0.612,0.357
-8.1571180,33.1237793,0.167,0.310
-2.9320690,35.7385254,0.290,0.315
-5.4519589,32.5524902,-0.434,0.327
-8.3093413,36.1779785,-0.443,0.329
-4.1820725,30.2233887,-0.009,0.300
-6.2388552,38.7487793,-0.472,0.314
-8.6570568,33.7170410,-0.560,0.308
-8.2441099,35.6286621,-0.594,0.352
-8.1136149,35.9582520,-0.356,0.347
-4.5326183,32.6403809,-0.033,0.320
-6.9373327,36.4636230,-0.444,0.339
-3.1953637,32.5085449,-0.718,0.317
-4.2478122,38.0236816,0.162,0.349
-7.9830776,35.6506348,-0.690,0.370
-3.6998186,32.8820801,0.000,0.323
-6.1733235,36.7053223,-0.244,0.381
-4.3573658,30.2453613,-0.149,0.320
-10.4554016,40.0891113,-0.288,0.328
-10.8440961,37.7380371,-0.237,0.307
-2.5589632,33.5632324,-0.676,0.312
-2.4711573,33.8488770,-0.362,0.345
-3.6121068,36.5734863,-0.665,0.308
-6.5008990,31.3879395,-0.179,0.322
-5.2113056,31.2341309,-0.120,0.306
-10.4986143,39.0563965,-0.395,0.312
-5.8892605,35.1892090,-0.492,0.418
-4.8611009,32.5305176,-0.342,0.333
-4.4449973,35.7604980,-0.142,0.354
-3.0417830,31.1022949,-0.687,0.305
-2.7784514,36.9689941,-0.400,0.298
-4.4230904,32.3767090,-0.328,0.306
-5.9329721,37.2766113,-0.094,0.343
-5.6487856,35.6286621,-1.116,0.340
-4.7735207,38.6828613,-0.509,0.351
-3.8971380,35.7165527,-0.642,0.326
-4.3792747,34.9255371,-0.138,0.342
-7.1335976,31.3220215,-0.792,0.328
-5.2769476,38.5729980,-0.375,0.351
-10.4337931,35.6945801,-0.299,0.313
-1.5708481,34.3762207,0.496,0.323
-3.8094460,33.3874512,-0.874,0.348
-2.6028640,35.4968262,0.124,0.294
-8.8742168,35.9582520,-0.732,0.320
-5.1456567,36.0461426,-0.404,0.346
-9.9363874,39.3640137,-0.564,0.485
-9.3515125,32.9260254,-0.344,0.344
-11.0598206,37.2766113,-0.429,0.321
-2.6467632,33.8928223,-0.020,0.304
-5.3425828,36.0241699,-0.760,0.330
-8.3528229,32.0251465,-0.609,0.319
-8.7004990,32.6184082,-0.689,0.305
-4.6859294,32.5305176,-0.406,0.345
-2.6248138,34.2224121,-0.183,0.340
-10.5634219,40.2429199,-0.353,0.308
-5.0581143,38.7048340,-0.449,0.306
-5.2331870,33.8269043,-0.579,0.329
-3.7217452,33.9807129,-0.187,0.331
-2.9978987,32.8161621,0.089,0.310
-6.9373327,39.0783691,-0.328,0.427
-5.8236865,35.5627441,-0.634,0.331
-8.8959258,34.8815918,-0.397,0.328
-5.4957038,32.4645996,-0.555,0.327
-2.7565043,33.6291504,-0.270,0.347
-2.5809138,30.7507324,-0.357,0.292
-8.1571180,35.0793457,-0.563,0.315
-5.5394455,35.9362793,-1.122,0.352
-7.9177932,35.0573730,-0.378,0.316
-5.1237722,32.3107910,-0.387,0.331
-6.8718928,37.4743652,-0.498,0.355
-11.1460662,38.1774902,-0.502,0.305
-5.5175751,38.6389160,-1.043,0.302
-5.1675404,31.8273926,-0.406,0.309
-7.0463790,37.4743652,-0.546,0.325
-2.5589632,31.3659668,-0.409,0.296
-4.0944111,32.7722168,-0.150,0.339
-8.4397714,31.9372559,-0.121,0.326
-10.7577626,36.9470215,0.664,0.457
-5.1018870,31.9812012,-0.650,0.315
-2.4272521,34.0905762,-0.477,0.308
-2.0979197,35.6506348,0.010,0.334
-5.3425828,37.5402832,-0.118,0.319
-7.1553996,31.3879395,-0.498,0.343
-4.7516240,31.6296387,-0.462,0.302
-2.7565043,31.6735840,-0.603,0.299
-7.5694372,31.4758301,-0.227,0.322
-4.7735207,35.0134277,-0.806,0.339
-10.4121830,39.4299316,-0.449,0.310
-9.0044514,32.3327637,-0.038,0.298
-2.9759559,33.0139160,-0.117,0.331
-4.1382430,37.9577637,0.101,0.424
-5.1456567,34.0026855,-0.651,0.323
-5.5831840,30.3991699,-0.321,0.295
-5.6487856,32.8381348,-0.266,0.339
-10.6929962,39.7375488,-0.413,0.344
-5.5175751,33.3654785,-0.684,0.328
-3.3708564,33.9807129,-0.682,0.337
-4.6859294,31.5637207,-0.469,0.301
-5.1675404,35.3210449,0.262,0.327
-5.4519589,36.0241699,-0.793,0.331
-7.5476555,31.2341309,-0.182,0.320
-5.7581050,37.6721191,-0.817,0.314
-1.1095498,34.1784668,-0.018,0.304
-6.0203850,35.9582520,-0.371,0.339
-6.7628064,35.6726074,-0.400,0.347
-3.7875216,34.5300293,-0.486,0.330
-8.2875987,32.3327637,-0.715,0.331
-2.8881803,30.7287598,-0.271,0.291
-1.8124418,34.6179199,0.491,0.286
-7.8307313,32.7941895,-0.362,0.305
-5.6050520,32.5524902,-0.483,0.331
-10.5850215,39.0344238,-0.520,0.330
-4.4669035,33.8049316,-0.740,0.331
-4.7735207,31.9152832,-0.250,0.307
-4.5107140,29.7619629,0.352,0.338
-7.6129974,31.5417480,-0.252,0.310
-4.5764249,38.7268066,-0.984,0.300
-1.6367402,34.3103027,0.044,0.291
-8.4832384,36.5075684,-0.747,0.325
-2.8442900,31.9152832,-0.187,0.332
-9.0044514,34.5520020,-0.214,0.331
-8.5049700,34.8156738,-0.301,0.306
-4.6640299,34.9475098,-0.664,0.333
-5.0143386,38.4851074,-0.817,0.332
-6.8064439,36.7712402,-0.411,0.355
-8.6787785,39.2102051,-0.587,0.333
-5.1675404,31.0583496,-0.824,0.314
-5.4082108,37.2546387,-0.625,0.339
-2.6028640,30.6408691,-0.254,0.305
-6.5227299,30.9045410,-0.406,0.392
-5.1237722,33.0578613,-0.547,0.327
-10.8872536,37.7160645,-0.263,0.337
-2.9540126,32.3547363,-0.402,0.332
-7.8742645,35.6945801,-0.146,0.346
-11.3831090,36.8151855,-0.527,0.305
-2.6687122,31.7395020,-0.269,0.321
-7.3733623,39.1882324,-0.267,0.336
-7.0681852,31.3000488,-0.710,0.332
-5.4738318,35.8264160,-0.864,0.335
-11.3400249,38.4411621,-0.310,0.301
-3.7217452,32.3767090,-0.591,0.310
-4.6640299,34.4421387,-0.190,0.367
-3.8094460,33.2775879,0.357,0.338
-4.9048867,32.0251465,-0.580,0.333
-6.3262180,37.3864746,-0.447,0.361
-1.8563646,34.8156738,-0.011,0.290
-1.2193903,33.9587402,-0.112,0.331
-6.4135660,38.6389160,-0.408,0.344
-10.2608706,35.9362793,-0.226,0.301
-2.5589632,33.7609863,0.142,0.333
-5.8674033,35.8703613,-0.898,0.384
-4.4449973,33.2116699,-0.740,0.329
-3.2392398,33.2116699,-0.378,0.331
-3.3489215,34.1345215,-0.677,0.341
-5.3425828,32.6843262,-0.299,0.364
-7.3515708,31.4318848,-0.416,0.338
-6.6973426,37.1008301,0.032,0.413
-3.8971380,36.0900879,-0.173,0.430
-4.1820725,34.2443848,0.193,0.352
-5.0581143,34.4641113,0.048,0.327
-3.0417830,33.5412598,-0.314,0.317
-3.6340356,36.0461426,-0.424,0.444
-8.6353339,34.3981934,-0.696,0.303
-8.4615055,31.5417480,-0.596,0.420
-4.3354564,33.6950684,-0.971,0.330
-4.6421296,34.2663574,-0.341,0.332
-4.1601581,38.0236816,-0.516,0.359
-4.3135463,34.4641113,-0.502,0.335
-6.0422360,35.6286621,-0.093,0.333
-5.0800010,30.3771973,0.048,0.382
-7.8742645,33.1237793,-0.671,0.372
-1.1534865,30.6408691,-0.031,0.345
-3.2831139,35.2111816,-0.138,0.317
-2.9320690,35.8923340,-0.861,0.297
-1.8563646,30.9924316,-0.427,0.298
-8.0048367,36.9030762,-0.351,0.335
-3.6121068,34.5080566,-0.679,0.334
-4.8173122,33.2995605,-0.518,0.345
-10.7361753,35.5627441,-0.440,0.331
-8.1353671,35.0354004,-0.451,0.315
-6.8064439,37.8479004,-0.538,0.389
-10.8440961,36.0461426,-0.610,0.298
-5.3425828,33.5852051,-0.359,0.348
-2.7126091,32.0251465,-0.658,0.302
-1.6367402,31.5856934,0.151,0.327
-9.2430925,34.0686035,-0.225,0.343
-3.4366581,37.1228027,-0.269,0.409
-8.0048367,33.2556152,-0.390,0.318
-4.6640299,33.6950684,-0.635,0.334
-5.7362428,34.9475098,-0.324,0.344
-2.9540126,31.4099121,-0.206,0.298
-6.1951683,37.6281738,0.006,0.368
-10.6929962,34.7937012,-0.236,0.322
-5.2113056,38.6169434,-0.575,0.371
-9.1563324,33.0358887,-0.088,0.327
-10.9735497,38.7487793,-0.721,0.304
-5.7581050,30.7507324,-0.958,0.306
-2.5150610,34.0026855,0.148,0.314
-3.2611771,37.3645020,0.889,0.430
-3.3489215,32.2888184,-0.410,0.321
-6.0640861,39.3640137,-0.357,0.393
-3.0856655,37.0788574,-0.514,0.307
-4.1382430,34.6398926,-0.548,0.330
-6.2606973,37.0568848,-0.480,0.334
-5.4300853,38.6828613,-0.092,0.308
-5.2113056,34.7717285,-0.560,0.371
-3.2831139,31.9592285,-0.262,0.301
-6.9155204,36.3317871,-0.484,0.326
-5.0362268,32.3547363,-0.260,0.335
-5.8674033,37.0788574,-0.484,0.330
-9.0478525,33.5632324,-0.372,0.334
-5.0581143,35.4089355,-0.468,0.328
-3.8532931,32.1569824,-0.577,0.325
-5.6925158,36.1779785,-0.606,0.325
-4.6421296,39.1003418,-0.200,0.397
-9.0695511,35.0793457,-0.429,0.315
-2.9540126,33.1457520,0.124,0.376
-8.8307950,34.7277832,-0.272,0.347
-10.6282159,35.8703613,-0.699,0.367
-5.9111167,35.6066895,-0.654,0.330
-5.6706511,34.3762207,-0.790,0.323
-7.9177932,36.9470215,-0.538,0.392
-5.7581050,34.2443848,-0.307,0.326
-5.4738318,36.6174316,-0.219,0.338
-9.0044514,33.1457520,-0.123,0.322
-2.8223442,34.0905762,-0.044,0.307
-9.3948711,33.4313965,-0.469,0.309
-10.6282159,39.3859863,-0.631,0.397
-5.5394455,37.9357910,-0.063,0.312
-2.6248138,30.9265137,-0.228,0.297
-6.4354006,37.4304199,-0.607,0.361
-4.7954168,34.5739746,-0.162,0.337
-1.7245930,33.7170410,0.019,0.307
-8.5049700,32.6623535,-0.222,0.303
-2.8223442,32.5964355,-0.369,0.331
-9.0261526,32.8161621,-0.509,0.370
-2.0320445,34.1564941,-0.070,0.302
-7.5258726,31.4978027,-0.113,0.336
-3.0198411,31.8713379,-0.154,0.376
-8.3310827,31.4538574,-0.135,0.304
-5.0800010,30.7946777,-0.413,0.349
-6.4354006,36.7272949,-0.180,0.348
-8.0265947,33.1896973,-0.417,0.334
-2.1198775,35.2770996,-0.294,0.294
-5.5394455,33.8269043,-0.458,0.329
-4.4888091,32.8601074,-0.272,0.329
-2.8003980,32.7282715,-0.278,0.308
-3.7436712,35.4748535,-1.102,0.326
-5.3207052,32.2888184,-0.761,0.329
-5.0800010,29.9377441,-0.312,0.310
-4.5107140,38.1774902,-0.744,0.317
-4.8392069,38.8806152,-0.560,0.302
-5.6925158,32.6184082,-0.455,0.333
-8.8307950,36.2438965,-0.655,0.381
-8.5484296,32.5524902,-0.281,0.307
-4.1163273,32.2888184,-0.434,0.312
-3.1734250,33.8708496,0.109,0.319
-5.9329721,36.7053223,-0.251,0.391
-3.6340356,32.1789551,0.280,0.464
-7.7871935,38.9025879,-0.607,0.326
-3.2392398,33.3215332,0.079,0.377
-6.5227299,38.1994629,-0.689,0.317
-7.3079846,31.4318848,-0.488,0.322
-8.3745618,31.9152832,-0.919,0.319
-6.3480564,35.2111816,-0.217,0.327
-5.5831840,35.2770996,-0.457,0.328
-8.7004990,35.2331543,-0.581,0.319
-4.7078283,35.5847168,-0.282,0.327
-3.3708564,37.4304199,0.321,0.399
-4.5326183,33.5852051,-0.937,0.330
-3.6121068,34.0246582,-0.753,0.329
-7.5694372,39.2541504,-0.923,0.327
-8.7004990,34.1125488,-0.122,0.304
-10.8225151,35.2770996,0.012,0.408
-2.4931093,33.5632324,-0.630,0.312
-10.2176252,40.0231934,-0.095,0.317
-7.2207995,37.5622559,-0.801,0.324
-4.1820725,35.0354004,0.313,0.483
-3.7217452,35.9362793,-0.834,0.382
-9.0912484,32.6843262,-0.774,0.310
-2.3613917,32.7062988,-0.468,0.335
-5.6706511,29.9597168,-0.524,0.301
-7.9395558,35.2551270,-0.422,0.352
-9.0261526,32.5964355,-0.487,0.310
-6.0859354,31.1901855,-0.646,0.321
-6.7846256,32.0910645,-0.353,0.328
-5.4300853,36.3977051,-0.315,0.342
-3.1076060,32.3107910,-0.434,0.347
-5.5613152,32.9040527,-0.230,0.330
-6.6318701,36.0241699,-0.337,0.330
-8.8959258,36.2219238,-0.720,0.319
-8.4615055,31.9592285,-0.451,0.311
-4.9048867,34.9035645,-0.074,0.350
-5.1237722,32.1130371,-0.553,0.354
-2.7126091,31.9812012,-0.325,0.308
-9.0044514,39.4738770,-0.260,0.325
-4.0724942,35.1452637,-0.391,0.324
-3.8752158,32.6403809,-0.292,0.354
-10.5418209,35.1452637,-0.776,0.301
-5.3207052,34.9694824,-0.674,0.333
-5.5613152,36.3757324,0.079,0.329
-4.8392069,34.9035645,0.006,0.388
-4.8392069,33.6511230,-0.560,0.322
-10.9735497,35.2331543,-0.476,0.297
-5.3207052,35.5627441,-0.748,0.325
-6.5445599,36.6833496,-0.623,0.329
-11.2107336,35.0134277,-0.367,0.308
-3.7436712,30.5529785,-0.264,0.301
-2.9978987,36.1340332,-0.398,0.307
-8.3962996,32.9479980,-0.771,0.329
-4.8611009,29.8278809,-0.235,0.326
-4.4669035,32.5305176,-0.435,0.313
-4.6421296,38.2434082,0.258,0.393
-5.9329721,37.7600098,-0.533,0.331
-10.3041101,38.6608887,-0.434,0.334
-10.4770087,39.1662598,-0.388,0.312
-9.7631974,38.9685059,-0.045,0.316
-8.7873681,34.5080566,-0.755,0.387
-10.9519780,38.0456543,-0.614,0.316
-6.0859354,35.5627441,-0.824,0.336
-3.8532931,36.6613770,-0.254,0.348
-9.8498038,39.1003418,-0.552,0.317
-6.7628064,37.6501465,1.160,0.492
-5.9329721,37.8918457,-0.396,0.313
-5.3207052,37.9797363,-0.785,0.308
-3.1514858,34.1125488,-0.071,0.332
-10.5418209,39.7375488,-0.549,0.314
-7.3951528,39.1442871,0.020,0.346
-6.3043786,38.7487793,-0.268,0.313
-5.7581050,35.2770996,-0.270,0.325
-4.2916356,35.4528809,-0.549,0.338
-5.5175751,32.8820801,-0.148,0.330
-10.8440961,39.6716309,-0.275,0.344
-8.8090822,34.8376465,0.358,0.411
-2.7565043,30.7727051,-0.158,0.288
-4.1601581,34.7058105,-0.280,0.330
-11.0813844,39.2321777,-0.419,0.302
-3.5463174,33.1677246,-0.435,0.410
-10.3041101,39.3859863,-0.405,0.402
-3.1076060,32.4865723,-0.586,0.310
-1.2413579,34.1125488,0.190,0.316
-8.3310827,35.1672363,-0.565,0.323
-3.5463174,35.5187988,-0.693,0.318
-4.0724942,32.2448730,-0.138,0.309
-4.2916356,35.8044434,-0.495,0.338
-7.1990006,31.4978027,-0.497,0.320
-4.0067400,33.4313965,-0.327,0.332
-1.5049538,33.6730957,0.139,0.325
-6.8937071,37.4304199,-0.685,0.328
-11.0382553,37.5183105,-0.525,0.311
-2.4052990,33.7390137,0.012,0.317
-3.3489215,36.7932129,0.237,0.448
-4.4230904,35.5407715,-0.310,0.339
-7.6129974,31.4978027,-0.511,0.325
-5.9329721,35.3430176,-0.429,0.328
-9.8714518,39.0783691,-0.654,0.316
-2.8223442,30.9265137,-0.189,0.294
-2.7784514,32.0690918,-0.187,0.328
-5.5175751,35.6945801,-0.792,0.330
-4.7078283,35.2990723,-0.060,0.330
-9.5682508,34.7717285,-0.413,0.320
-10.4121830,35.6726074,-0.146,0.380
-3.6340356,37.7160645,-0.668,0.303
-5.8018269,36.1120605,-0.226,0.418
-11.1460662,35.3210449,-0.673,0.296
-9.7848511,38.0456543,-0.572,0.327
-9.0695511,33.3435059,-0.339,0.330
-4.1163273,37.4963379,-0.594,0.308
-3.8971380,33.4973145,-0.705,0.332
-11.0382553,35.1892090,-0.006,0.298
-5.3207052,38.6169434,-0.128,0.399
-10.0878536,38.6389160,-0.191,0.322
-1.4390576,31.1901855,-0.338,0.381
-10.6498109,38.6608887,-0.292,0.313
-8.2658549,36.1999512,-0.729,0.344
-4.5326183,30.0695801,0.001,0.347
-3.0856655,32.9919434,-0.254,0.333
-6.1514779,37.5842285,0.698,0.485
-1.4610233,31.7175293,0.267,0.361
-8.6136097,31.8493652,-0.416,0.306
-9.2647792,33.8049316,0.717,0.493
-7.8960294,36.0021973,-0.538,0.329
-5.4738318,37.7819824,-0.487,0.339
-8.1788678,33.1896973,-0.663,0.314
-4.7297265,32.2009277,-0.202,0.308
-2.2735730,31.4758301,-0.486,0.296
-6.6973426,35.0793457,-0.390,0.328
-4.5107140,32.2009277,-0.073,0.314
-4.6859294,32.4426270,-0.444,0.319
-5.2550677,31.9372559,-0.488,0.322
-6.1296313,34.0686035,-0.428,0.335
-6.9809543,36.8811035,-0.172,0.350
-10.9735497,38.3752441,-0.715,0.303
