latitude,longitude,rwi,error
-7.7001044,23.8952637,-0.320,0.383
-5.4082108,14.1174316,-0.371,0.368
-4.3135463,17.8747559,-0.616,0.389
-6.9591440,29.4982910,-0.231,0.375
3.8752158,30.1354980,-0.488,0.454
-6.8500775,19.2590332,-0.617,0.359
-4.9705600,15.0402832,-0.558,0.365
0.4064907,20.0720215,-0.296,0.359
-8.5267005,25.5871582,-0.245,0.384
1.9881263,21.5881348,-0.442,0.370
-10.7145865,26.5319824,-0.107,0.388
-4.4230904,21.8298340,-0.429,0.376
2.3394375,20.3796387,-0.435,0.363
-9.0912484,28.2897949,-0.084,0.374
-3.8752158,21.6979980,-0.422,0.374
-10.2392486,27.3010254,-0.513,0.370
2.5809138,23.5876465,-0.400,0.375
-4.6640299,17.4572754,-0.509,0.367
-4.3792747,28.7951660,0.042,0.393
-12.8225137,28.7072754,-0.556,0.363
-4.8611009,28.2458496,-0.242,0.368
2.0540032,30.9924316,-0.321,0.367
-10.7577626,27.2351074,0.620,0.515
-10.7577626,25.5432129,-0.156,0.465
-7.0463790,25.6530762,-0.258,0.388
-2.9540126,18.5559082,0.099,0.381
-4.3354564,17.4353027,-0.267,0.376
-6.3262180,26.9494629,-0.511,0.386
-0.7140928,23.7634277,-0.481,0.375
-6.5008990,22.9724121,-0.274,0.376
2.6687122,27.3669434,-0.781,0.404
-1.6147764,16.7321777,-0.657,0.379
1.2852926,22.5549316,-0.756,0.373
2.0540032,30.7507324,-0.464,0.381
1.9661667,20.9509277,-0.507,0.359
2.0540032,20.7092285,-0.214,0.362
-4.4669035,15.3698730,0.642,0.385
-4.8392069,13.0627441,-0.624,0.366
2.9320690,29.5422363,-0.580,0.381
-5.2113056,13.2385254,-0.599,0.366
-6.9373327,19.6325684,-0.060,0.360
-5.4738318,20.4895020,-0.067,0.351
-5.6925158,17.9187012,-0.539,0.364
-6.7628064,17.1936035,0.132,0.355
-10.6066195,22.6647949,-0.716,0.361
3.1734250,30.7507324,-0.183,0.370
-5.7581050,21.1706543,-0.613,0.370
-7.2643942,23.8732910,-0.622,0.391
-7.3297783,26.0705566,-0.408,0.378
3.1953637,30.5529785,-0.527,0.376
-5.4082108,12.8649902,-0.524,0.360
-5.3207052,15.2819824,-0.482,0.367
-6.4572344,23.4777832,-0.514,0.386
-7.4169421,26.2683105,-0.107,0.379
2.0979197,30.6628418,-0.411,0.366
-5.7362428,23.5876465,-0.387,0.380
2.3174830,19.1711426,-0.667,0.371
-5.8455454,13.4143066,-0.354,0.402
-5.0800010,28.3337402,-0.654,0.362
0.8898568,23.8513184,-0.700,0.375
-5.4082108,15.1281738,-0.022,0.352
-4.2916356,16.3806152,-0.515,0.362
-6.8718928,22.3791504,-0.290,0.435
-4.6859294,15.4357910,-0.393,0.374
-1.7685179,28.5095215,-0.399,0.361
