latitude,longitude,rwi,error
-1.6587038,30.0036621,-0.378,0.393
-1.3511931,30.1794434,0.385,0.321
-1.3511931,29.8718262,-0.209,0.297
-2.5150610,28.9709473,0.457,0.324
-2.1857489,30.6188965,-0.281,0.290
-1.2413579,30.5090332,-0.452,0.291
-2.1418349,30.7067871,-0.108,0.292
-1.6367402,29.4763184,0.198,0.343
-2.5150610,28.9929199,0.139,0.331
-2.5589632,29.1467285,-0.153,0.293
-2.0979197,29.7180176,-0.339,0.299
-2.0540032,30.2893066,0.016,0.331
-1.5488836,29.5861816,-0.276,0.414
-2.0759616,30.2453613,-0.265,0.305
-2.3833455,29.7619629,-0.234,0.395
-1.6806671,30.5090332,-0.386,0.301
-2.2296616,29.6960449,-0.055,0.370
-1.9442068,29.4982910,-0.164,0.326
-2.0540032,30.7727051,-0.029,0.434
-2.3394375,29.9377441,-0.309,0.298
-2.3174830,29.4763184,-0.164,0.299
-2.3174830,29.1247559,0.357,0.447
-2.1857489,29.8059082,-0.207,0.312
-1.6587038,29.4104004,0.155,0.324
-2.2296616,29.4982910,-0.127,0.379
-2.0540032,30.1135254,0.038,0.363
-1.7904800,30.5310059,-0.497,0.304
-1.5049538,30.1574707,-0.292,0.319
-1.5269188,29.6301270,0.330,0.421
-2.0100856,30.5090332,-0.360,0.350
-2.1857489,30.7946777,-0.726,0.294
-1.8344033,29.8059082,0.051,0.300
-1.8344033,30.1574707,-0.511,0.405
-2.1637921,30.2673340,-0.203,0.309
-2.2077054,29.8937988,-0.220,0.348
-1.8783255,29.2785645,-0.334,0.318
-2.0759616,29.3884277,0.237,0.393
-1.7904800,29.9816895,-0.564,0.316
-1.5488836,29.6520996,0.194,0.406
-1.6367402,29.9816895,0.086,0.327
-2.0100856,30.0695801,0.968,0.444
-1.5708481,30.3991699,-0.217,0.358
-2.7345569,29.4323730,0.611,0.343
-1.5488836,29.5422363,-0.078,0.460
-1.7465556,30.5969238,-0.428,0.312
-1.7685179,30.5529785,-0.372,0.315
-2.7345569,29.7180176,-0.175,0.315
-2.3174830,30.7067871,0.031,0.325
-2.2735730,29.4104004,-0.138,0.304
-2.1418349,29.6960449,-0.096,0.311
-2.4931093,28.9489746,-0.153,0.379
-2.2735730,30.4870605,0.194,0.410
-1.8344033,29.9816895,0.246,0.350
-2.2077054,29.6081543,0.311,0.323
-1.7465556,30.6408691,-0.126,0.311
-2.3394375,29.6301270,-0.176,0.320
-2.3833455,29.4104004,-0.563,0.303
-1.4390576,30.0915527,-0.262,0.391
-2.5370123,29.4982910,-0.382,0.291
-2.1857489,30.2453613,0.467,0.401
-2.7126091,29.6081543,0.317,0.286
-1.9661667,29.6520996,0.145,0.366
-1.5928123,29.9597168,-0.365,0.314
-1.3511931,30.4650879,-0.370,0.294
-2.1857489,30.4870605,-0.504,0.295
-1.9881263,29.9597168,0.262,0.380
-2.5150610,28.9489746,0.255,0.336
-2.2955282,29.4323730,-0.406,0.301
-2.3613917,30.7507324,-0.259,0.308
-2.7784514,29.5422363,0.696,0.331
-1.9442068,30.0476074,1.353,0.434
-1.7904800,29.7180176,0.102,0.332
-2.1418349,30.1794434,0.263,0.412
-1.9002862,30.5969238,-0.102,0.295
-2.0320445,30.1354980,0.155,0.375
-2.3174830,29.4104004,0.368,0.300
-1.8563646,29.7180176,0.184,0.301
-2.3394375,30.6408691,0.067,0.289
-1.5928123,29.5642090,0.157,0.335
-2.6028640,28.9489746,-0.004,0.381
-2.3613917,29.2346191,-0.185,0.308
-2.2735730,29.3884277,-0.073,0.309
-1.8124418,29.5861816,-0.167,0.321
-2.4492049,29.6081543,-0.174,0.397
-1.9661667,30.1135254,1.748,0.421
-1.5708481,30.1794434,-0.717,0.295
-1.6587038,29.8278809,0.076,0.363
-1.7465556,29.6520996,-0.200,0.333
-2.2735730,30.5969238,0.536,0.421
-1.1315182,30.4211426,0.075,0.412
-1.4390576,29.8498535,-0.405,0.351
-1.4610233,29.6740723,0.938,0.325
-2.3174830,30.7727051,0.534,0.372
-2.5370123,28.8610840,1.330,0.387
-1.9442068,29.9816895,0.417,0.405
-1.6587038,30.2014160,0.019,0.295
-1.5928123,29.6301270,-0.094,0.349
-2.2077054,30.8166504,-0.334,0.293
-2.0540032,29.5202637,-0.119,0.377
-1.7685179,30.2014160,-0.270,0.334
-2.4052990,28.9489746,0.014,0.295
-1.5488836,30.2453613,0.608,0.462
-2.1198775,30.3991699,-0.038,0.350
-1.2633253,30.2233887,-0.396,0.305
-1.7904800,30.3332520,0.133,0.314
-2.5370123,29.0588379,-0.216,0.295
-1.8124418,29.5422363,0.065,0.322
-2.0979197,29.9377441,-0.158,0.384
-1.5708481,30.0915527,0.332,0.374
-2.4931093,29.0148926,-0.067,0.355
-2.2735730,30.7287598,0.379,0.402
-1.7465556,30.2893066,-0.141,0.417
-2.1637921,29.3225098,0.141,0.345
-1.7904800,29.5861816,-0.320,0.334
-1.7026302,30.0476074,0.144,0.403
-1.9661667,29.4323730,-0.367,0.342
-2.8223442,29.4982910,-0.656,0.297
-1.6147764,29.9377441,-0.173,0.384
