quadkey,latitude,longitude,rwi,error
12200303302230,34.6241673,7.7893066,0.240,0.320
12200300032321,36.0579805,6.0974121,-0.423,0.345
12200322100032,33.0731305,6.3830566,-0.072,0.379
12200212302321,34.6241673,3.6364746,-0.689,0.266
12200211322332,35.4696175,5.0646973,-0.295,0.370
12200123321020,36.8356677,7.9211426,0.455,0.427
12202200110020,27.0101960,1.0656738,0.548,0.476
12200201112122,36.3947562,2.5598145,0.007,0.371
12200303103133,35.2545905,8.0749512,-0.933,0.302
12200210203331,35.7732571,3.1530762,-0.316,0.311
12200300321112,35.7197574,6.6467285,-0.405,0.384
12200232301203,32.4448845,3.7243652,0.360,0.427
12200211313330,35.7732571,5.5920410,-0.645,0.289
12200202002132,35.2545905,0.1428223,-0.126,0.430
12200210112123,36.3947562,3.9880371,0.537,0.490
12200213210233,34.7506393,4.6472168,0.365,0.259
12200210020113,36.2885627,2.9772949,-0.309,0.339
12200221102011,34.1527265,2.1862793,-0.272,0.436
12200210231223,35.6126503,3.3728027,-0.552,0.300
12200212033300,34.9489902,3.4387207,-0.388,0.313
12200301203331,35.7732571,7.3718262,0.930,0.425
12200300101021,36.5537747,6.5368652,-0.129,0.294
12200122220322,36.7476872,5.7238770,-0.182,0.294
12200303113313,35.2186970,8.4265137,-0.482,0.270
12200123331230,36.7652914,8.3166504,1.292,0.481
12200200033211,36.0934989,0.6042480,-0.215,0.339
12200300020213,36.2176866,5.7019043,0.072,0.371
03311313030311,35.0929448,-0.8898926,-0.156,0.359
12200322010012,33.1099478,6.0314941,-0.340,0.462
12200122223202,36.6419773,5.8117676,-0.228,0.336
12200213000313,35.3621756,4.3835449,-0.754,0.290
12200200212300,35.8089035,0.4504395,-0.343,0.348
12200301213322,35.7554279,7.6574707,-0.317,0.330
12200301223101,35.5947852,7.3278809,-0.503,0.306
12200303131110,35.1648270,8.4045410,0.130,0.378
12200210032313,36.0757417,3.3288574,-0.033,0.455
12200211320313,35.6483687,5.0866699,0.551,0.401
12200210323113,35.5769160,3.8562012,-0.801,0.280
12200122231121,36.8356677,6.2731934,-0.424,0.348
12200302012312,35.2186970,6.1193848,0.083,0.474
12200212012220,35.2007443,3.1750488,-0.456,0.294
12200200300022,35.9691146,0.7141113,-0.211,0.399
12200201100322,36.4654714,2.2082520,-0.295,0.332
12200201230032,35.6840710,1.8127441,-0.179,0.375
12200213330321,34.4793915,5.3942871,-0.667,0.282
12200213112012,35.2904681,5.3283691,-0.808,0.323
12200221201131,33.6786394,1.7468262,-0.653,0.301
12200201111032,36.5361221,2.6916504,0.297,0.428
03311333121311,32.7595615,-0.3625488,-1.141,0.305
12200302001203,35.3621756,5.8337402,-0.360,0.322
12200300310102,36.0046730,6.7785645,-0.300,0.292
03313131313032,28.7002242,-0.1208496,-0.352,0.275
12200203313101,34.7325837,2.7575684,-0.753,0.289
12200210010031,36.5537747,3.2409668,0.456,0.475
12200202000320,35.3442547,0.0988770,-0.547,0.342
12200032312231,36.9059794,3.9440918,-0.030,0.406
12200202200311,34.8047824,0.1647949,-0.353,0.378
12200300131110,36.3062717,6.9982910,-0.356,0.265
12200201023211,36.0934989,1.6589355,-0.115,0.380
12200211310222,35.8979497,5.2844238,-0.030,0.433
03311313211322,34.7506393,-0.7800293,0.065,0.325
12200221013103,34.1345412,2.0544434,-0.085,0.411
03313133333233,27.0689087,-0.0988770,0.291,0.481
03311330311322,33.5871669,-1.4831543,-0.194,0.289
03313112332330,29.5639011,-1.6149902,-0.430,0.344
12200210222322,35.4696175,2.9113770,0.162,0.457
12200200230010,35.7375947,0.4064941,-0.058,0.395
12200212210311,34.8047824,3.3288574,-0.205,0.295
12200211121112,36.2885627,5.2404785,0.135,0.426
12200300311223,35.8979497,6.8884277,-0.241,0.285
12200300030101,36.3062717,6.0974121,-0.242,0.321
12200301012212,36.3593745,7.4377441,-0.010,0.311
12200302112313,35.2186970,6.8444824,-0.606,0.241
03313032032002,27.8099273,-8.0749512,-0.286,0.311
12200302000310,35.3800925,5.7678223,-0.738,0.351
12200210203312,35.7910823,3.1311035,-0.342,0.302
12200303310130,34.8408581,8.2287598,-0.598,0.302
12200213223321,34.3343640,4.5153809,-0.650,0.352
12200211031301,36.2354117,4.8669434,-0.396,0.350
12200212030033,35.1109213,3.2409668,-0.504,0.285
12200300303201,35.8089035,6.5368652,-0.281,0.255
12200302330031,34.5518109,6.7565918,-0.611,0.250
12200122332232,36.6067084,6.7346191,0.201,0.384
12200301303022,35.8267208,7.9211426,-0.690,0.282
12200210013230,36.3416775,3.3947754,-0.252,0.390
12200211313233,35.7554279,5.5261230,0.069,0.348
12200212132113,35.0030029,4.0319824,-0.562,0.271
12200122213112,36.9937779,6.2951660,-0.042,0.379
12200210103320,36.3416775,3.7902832,-0.099,0.406
12200301023210,36.0934989,7.2619629,-0.096,0.404
12200211231033,35.6840710,4.8229980,-0.018,0.370
12200221123023,33.8065375,2.3181152,-0.322,0.453
12200221013121,34.1163520,2.0544434,0.364,0.463
03313110101013,31.9241921,-1.8566895,0.185,0.337
12200201230301,35.6662218,1.8786621,-0.011,0.326
12200231023333,33.7334762,4.5593262,-0.001,0.263
12200302330133,34.5337119,6.8444824,-0.491,0.364
12200211202331,35.7732571,4.3835449,-0.530,0.306
03311312132310,34.9489902,-1.6149902,0.052,0.356
03311313213123,34.6783932,-0.7580566,-0.213,0.339
12202020201330,28.7965458,0.3186035,-0.410,0.379
12200122322203,36.6419773,6.3610840,-0.558,0.340
12200300332221,35.4875105,6.7126465,-0.233,0.290
03311311233020,35.5590429,-0.8679199,-0.470,0.391
12200213312132,34.6783932,5.4162598,-0.218,0.360
12200200301320,35.9157469,0.9777832,-0.614,0.337
03311313013310,35.2366457,-0.7360840,-0.108,0.359
12200123320321,36.7652914,7.8552246,-0.038,0.392
03311313133222,34.8949420,-0.1647949,-0.317,0.373
12200202202323,34.6060841,0.1208496,-0.048,0.304
12200211210233,35.8979497,4.6472168,-0.175,0.341
12200211320300,35.6662218,5.0207520,0.755,0.468
12202020003233,29.2384766,0.2526855,0.135,0.396
12200210033031,36.1290012,3.4167480,0.126,0.456
12200230121133,33.9524731,3.8562012,-0.784,0.266
12200301110002,36.5714233,8.0969238,-0.536,0.295
12200122220123,36.8180797,5.7458496,0.769,0.392
12200320331110,33.4222718,6.9982910,0.058,0.266
12200200320301,35.6662218,0.8239746,0.056,0.393
12200212213012,34.7145242,3.3947754,-0.377,0.382
12200201021212,36.2176866,1.6369629,0.764,0.427
12200302102030,35.2725313,6.3830566,-0.050,0.339
12200213110022,35.3980054,5.2844238,-0.744,0.352
12200211300130,35.9868958,5.0646973,-0.377,0.350
12200300122322,36.0402154,6.4270020,-0.439,0.298
12200033333201,36.6596057,5.4821777,0.636,0.433
03311312113201,35.2366457,-1.5490723,-0.300,0.389
12200300001123,36.5361221,5.9216309,0.074,0.376
12200200332111,35.5947852,1.2194824,-0.143,0.297
03311313123133,34.9669984,-0.3625488,-0.294,0.307
03311313102110,35.3084009,-0.5603027,0.021,0.365
12200230011310,34.2254285,3.4826660,-0.491,0.325
03311312122211,34.9489902,-2.0324707,-0.294,0.365
12200201110223,36.4654714,2.4938965,-0.054,0.499
12200212031231,35.0569799,3.4167480,0.083,0.450
03311313313000,34.7325837,-0.1647949,-0.515,0.288
12200213320110,34.5879970,5.0646973,-0.255,0.398
12200300130000,36.3062717,6.6906738,0.789,0.391
12200303101230,35.3442547,7.9650879,-0.410,0.275
12200203112022,35.2545905,2.4719238,-0.270,0.387
12200212032233,34.8949420,3.2409668,-0.318,0.309
12200301001303,36.5008048,7.3278809,-0.643,0.314
12200300113221,36.3416775,6.8884277,-0.221,0.372
12200303010301,35.3800925,7.5036621,-0.358,0.251
12200210121331,36.1999576,3.8562012,0.107,0.358
12200220101210,34.2254285,0.9338379,-0.445,0.282
03311313030132,35.1109213,-0.9118652,0.193,0.477
12200033203231,36.9059794,4.4714355,0.284,0.338
03313110220102,31.0246937,-2.7136230,0.573,0.520
12200032222031,36.6948504,2.8894043,0.273,0.413
12200211201130,35.9868958,4.5373535,0.447,0.437
12200302330011,34.5879970,6.7565918,-0.727,0.284
12200210133313,36.0757417,4.2077637,-0.236,0.402
12200200221102,35.7197574,0.2746582,-0.097,0.345
12200210302220,35.7732571,3.5266113,-0.592,0.284
12200212131021,35.1288938,4.0759277,0.691,0.474
12200301213001,35.8801485,7.5915527,0.022,0.423
03311313103110,35.3084009,-0.3845215,-0.285,0.309
12200300202230,35.7732571,5.6799316,0.062,0.318
12200210110133,36.5361221,4.0319824,0.029,0.414
12200300222000,35.5947852,5.6359863,-0.028,0.360
03311313301213,34.7867387,-0.4504395,0.260,0.494
12200210203002,35.8623432,2.9992676,-0.175,0.321
12200200032023,36.1112520,0.3845215,0.089,0.379
12200211112031,36.4124410,5.3503418,0.240,0.379
12200200031032,36.2531327,0.5822754,0.493,0.472
12200302013033,35.2545905,6.2292480,-0.055,0.342
03311311332031,35.5590429,-0.2746582,0.174,0.398
12200203110103,35.4338194,2.5817871,-0.289,0.389
12200210201211,35.9513294,3.0651855,0.129,0.411
12200213302321,34.6241673,5.0427246,-0.630,0.287
12200300013202,36.3593745,6.1633301,-0.358,0.324
12200300010120,36.5537747,6.0754395,-0.268,0.348
12200302202233,34.6060841,5.7019043,-0.705,0.257
12200203322023,34.3887788,2.1423340,-0.705,0.300
12200302132210,34.9489902,6.7346191,0.100,0.267
03311313122102,35.0030029,-0.6042480,-0.546,0.379
12200220301303,33.6237675,0.9997559,0.041,0.327
12200200330030,35.7019162,1.1096191,-0.623,0.345
12200201002210,36.3770673,1.4611816,-0.211,0.394
