latitude,longitude,rwi,error
-3.5682478,29.3884277,-0.235,0.281
-4.2916356,29.8937988,0.054,0.259
-3.0637244,30.3112793,-0.189,0.258
-3.0198411,29.9377441,0.285,0.295
-3.9848207,30.0695801,0.137,0.258
-2.5150610,30.0695801,-0.104,0.260
-3.8313699,29.5861816,0.035,0.262
-2.6028640,30.1794434,-0.224,0.242
-3.6340356,30.2673340,-0.369,0.254
-2.8223442,29.4982910,-0.340,0.247
-2.9759559,29.4543457,-0.382,0.252
-2.6687122,30.0256348,-0.231,0.266
-3.2831139,29.8937988,-0.272,0.257
-2.6687122,30.1354980,0.193,0.255
-3.4366581,30.2453613,-0.062,0.277
-3.2173020,29.5642090,0.392,0.301
-2.8003980,30.3771973,-0.137,0.249
-3.5682478,29.8498535,0.022,0.253
-2.8442900,29.3005371,-0.013,0.243
-3.4147247,29.9377441,0.632,0.495
-2.9759559,30.1354980,-0.155,0.249
-2.5150610,30.4431152,-0.384,0.254
-4.2258996,30.0256348,0.060,0.251
-2.5809138,30.0256348,0.345,0.245
-2.8442900,29.5202637,-0.468,0.247
-3.1295462,30.5090332,0.042,0.252
-3.1734250,29.3664551,0.036,0.261
-3.2173020,30.3552246,-0.147,0.254
-2.4711573,30.1354980,-0.583,0.240
-3.1514858,29.8498535,-0.190,0.275
-3.7655967,29.9377441,-0.380,0.254
-3.0856655,30.0476074,-0.046,0.249
-3.6998186,29.3664551,0.043,0.269
-2.9101249,29.7180176,0.593,0.298
-3.5682478,29.9377441,0.171,0.256
-3.5463174,30.3991699,-0.277,0.254
-3.1514858,30.2453613,0.426,0.256
-4.0944111,30.0476074,0.070,0.258
-4.3573658,29.6520996,0.026,0.255
-4.1163273,29.6520996,-0.344,0.261
-2.6906608,30.5090332,-0.044,0.241
-2.9978987,29.3884277,-0.576,0.266
-3.2173020,29.5861816,-0.165,0.250
-3.4805234,30.1135254,-0.012,0.266
-2.7345569,30.2014160,-0.344,0.251
-2.6028640,30.2893066,-0.060,0.242
-3.2831139,30.5090332,-0.304,0.253
-3.0637244,29.3664551,-0.356,0.251
-3.0637244,30.6188965,-0.165,0.267
-3.8532931,30.0036621,0.140,0.257
-4.3135463,29.6520996,-0.374,0.272
-3.9848207,29.4763184,0.118,0.259
-4.3135463,29.8059082,0.020,0.255
-3.1953637,30.4211426,-0.572,0.270
-3.0856655,30.1574707,0.158,0.303
-3.6778914,29.3444824,-0.368,0.258
-3.4805234,29.6081543,0.297,0.258
-3.6559638,29.3444824,-0.171,0.289
-2.7784514,29.7839355,-0.395,0.246
-2.5370123,30.2453613,0.138,0.266
-3.1295462,30.3332520,-0.308,0.254
-3.8094460,29.5202637,0.291,0.253
-3.7217452,29.9157715,-0.025,0.268
-4.0505767,29.7399902,-0.047,0.263
-2.3833455,30.3991699,-0.062,0.246
-3.6778914,30.1354980,-0.200,0.257
-4.0067400,29.5422363,-0.247,0.280
-3.5901776,30.2673340,-0.224,0.254
-3.7655967,29.3664551,-0.309,0.252
-3.1514858,30.2673340,0.173,0.265
-3.3050503,30.0036621,-0.294,0.258
-3.7655967,30.3552246,-0.357,0.248
-3.3050503,30.0695801,-0.022,0.269
-3.0637244,29.4323730,-0.021,0.249
-2.9540126,30.0915527,-0.163,0.252
-3.6778914,30.3552246,0.070,0.253
-3.6340356,29.6520996,0.269,0.257
-3.2611771,29.8718262,-0.284,0.258
-3.6340356,30.0915527,-0.194,0.256
-3.0856655,29.7839355,0.009,0.245
-2.8223442,29.8278809,0.240,0.244
-3.3927908,29.4763184,-0.132,0.275
-3.3269861,30.5969238,-0.050,0.257
-2.8442900,29.8278809,-0.207,0.265
-3.3708564,29.6520996,-0.002,0.280
-2.8662354,29.9816895,-0.059,0.435
-3.1295462,30.5749512,-0.042,0.252
-2.4711573,30.2233887,-0.295,0.239
-2.8881803,29.5422363,-0.279,0.245
-3.7655967,30.1135254,-0.269,0.257
-2.4272521,30.4211426,0.066,0.242
-3.6998186,29.6520996,-0.287,0.259
-3.7436712,29.7399902,-0.528,0.261
-2.5150610,29.9377441,-0.203,0.255
-2.6906608,30.2893066,0.093,0.245
-2.8662354,29.3005371,-0.359,0.253
-3.4805234,29.8278809,-0.086,0.262
-3.7436712,30.0036621,-0.076,0.257
-3.9629009,29.7180176,0.394,0.285
-3.6998186,29.4104004,-0.064,0.267
-3.3269861,29.6301270,0.260,0.263
-3.1514858,30.0256348,-0.243,0.253
-3.3927908,30.0256348,-0.284,0.282
-3.1295462,30.8386230,-0.487,0.250
-2.8662354,29.7839355,-0.130,0.248
-3.6998186,30.3552246,0.290,0.248
-2.9759559,30.0915527,-0.425,0.269
-3.0198411,29.9157715,0.190,0.274
-2.5370123,30.3112793,-0.239,0.244
-3.6998186,29.7839355,-0.117,0.258
-3.2392398,30.2014160,-0.146,0.272
-2.9759559,29.7619629,-0.285,0.261
-2.7565043,29.0808105,-0.258,0.243
-3.6778914,29.7180176,-0.017,0.256
-3.6778914,30.2673340,-0.057,0.267
-4.2258996,29.8278809,0.324,0.264
-3.8313699,29.4763184,-0.426,0.255
-3.1514858,30.7727051,-0.343,0.249
-3.0637244,30.1574707,0.156,0.285
-3.3927908,29.6740723,0.197,0.259
-2.5809138,30.1794434,-0.141,0.246
-3.6998186,30.1354980,0.370,0.255
-3.3708564,29.7839355,-0.183,0.270
-2.8003980,30.3112793,-0.070,0.257
-4.4449973,29.6960449,-0.148,0.264
-3.9409805,29.6520996,0.077,0.316
-4.2039864,29.8718262,0.407,0.260
-3.5682478,30.2673340,-0.079,0.272
-4.0724942,29.9816895,-0.282,0.270
-3.1953637,29.3664551,-0.199,0.276
-3.2173020,30.0695801,0.054,0.266
-3.1076060,30.0036621,-0.053,0.248
-3.9848207,29.7839355,-0.289,0.257
-3.2392398,30.7946777,-0.618,0.254
-3.3489215,29.9816895,0.211,0.285
-3.8532931,29.7839355,-0.274,0.254
-4.1382430,29.6960449,0.020,0.271
-3.2611771,30.0036621,-0.193,0.363
-3.1295462,30.0036621,0.705,0.284
-3.3050503,29.7180176,0.258,0.258
-3.9848207,30.1794434,0.209,0.254
-2.8442900,29.8718262,-0.131,0.285
-2.6248138,29.1027832,-0.361,0.273
-3.8313699,29.7619629,-0.032,0.253
-3.4805234,29.5422363,0.427,0.332
-4.3135463,29.9377441,0.179,0.266
-3.9848207,29.7399902,-0.181,0.258
-2.8442900,30.1794434,-0.113,0.274
-3.6998186,29.4982910,0.058,0.252
-3.5243866,29.7619629,0.089,0.355
-3.1953637,30.8386230,-0.373,0.254
-3.0417830,30.0695801,0.111,0.257
-3.8532931,30.0695801,0.231,0.255
-3.1953637,30.0915527,-0.309,0.311
-3.4366581,30.0695801,-0.196,0.260
-2.9759559,29.1687012,-0.333,0.261
-3.1295462,30.2453613,0.142,0.254
-4.2916356,29.9377441,0.017,0.261
-3.2173020,30.4211426,-0.369,0.312
-4.4011829,29.6740723,0.422,0.349
-2.8662354,29.8059082,0.078,0.255
-3.0198411,29.3884277,-0.355,0.253
-3.1734250,29.8718262,0.109,0.298
-3.6998186,30.0476074,-0.305,0.253
-4.2916356,29.5861816,-0.103,0.258
-3.3269861,29.5642090,-0.064,0.270
