quadkey,latitude,longitude,rwi,error
12212110033223,31.3630180,31.4978027,-0.169,0.498
12212030002323,29.2384766,25.4333496,-0.695,0.362
12212101212122,31.1376028,29.9816895,-0.109,0.532
12212110221223,30.9116505,31.1462402,0.430,0.527
12212112100123,30.6851635,31.7614746,0.456,0.541
12212123130303,27.8876388,30.7067871,0.646,0.517
12212112301131,30.0976128,31.9812012,-0.507,0.454
12212310122111,26.5787018,31.8054199,0.229,0.513
12213200000131,27.0101960,33.9147949,0.639,0.504
12212310012333,26.7554205,31.4538574,0.029,0.515
12212101303330,31.0811650,30.5529785,0.289,0.509
12212121312131,28.7194957,30.7507324,-0.319,0.461
12212112033320,30.1736241,31.5637207,0.548,0.510
12212101233333,30.7607184,30.2233887,0.036,0.505
12212011201210,31.2691604,26.9494629,-0.492,0.365
12212321110011,24.5171391,30.6628418,-0.365,0.328
12213000212231,31.0811650,34.1784668,0.019,0.336
12212121113331,29.2576481,30.9265137,0.755,0.491
12212110231101,31.0435212,31.5856934,0.034,0.523
12212331030333,24.0564961,32.8601074,0.597,0.470
12213022032101,27.8293604,34.2224121,0.303,0.430
12213000233203,30.7984737,34.3103027,-0.363,0.332
12213200021201,26.6572773,33.9587402,-0.341,0.410
12212112103212,30.4960174,31.8713379,-0.288,0.487
12212310300101,26.4213893,31.7614746,0.678,0.524
12212110233130,30.8550788,31.6076660,-0.155,0.492
12212310120302,26.6376385,31.7395020,0.364,0.548
12212121131132,29.1617551,30.9045410,0.215,0.537
12212123131001,27.9846997,30.7946777,0.544,0.514
12212103313121,29.9454149,30.8825684,0.837,0.497
12212010033012,31.4755236,25.8947754,-0.016,0.465
12212101332313,30.7984737,30.7507324,0.056,0.512
12212112212020,29.9454149,31.3000488,1.097,0.541
12212112133220,30.1736241,32.1789551,-0.425,0.477
12212112113322,30.4581439,32.2668457,0.386,0.472
12212112211021,30.0976128,31.4978027,-0.202,0.572
12212101323030,30.8550788,30.4650879,0.320,0.555
12212313210120,25.1154450,32.7941895,0.324,0.488
12212101331100,31.0435212,30.8605957,0.394,0.559
12212123101313,28.1979261,30.5749512,-0.120,0.417
12212313213021,24.9561796,32.9040527,0.155,0.548
12212011312001,31.1940070,27.8063965,-0.544,0.430
12212112123333,30.1546268,31.9812012,-0.234,0.435
12212121130311,29.1425657,30.7507324,-0.313,0.465
12212110203211,31.1187939,31.1901855,0.918,0.527
12212101212112,31.1752094,30.0256348,0.416,0.499
12212110221113,31.0246937,31.2780762,0.542,0.554
12212112012020,30.5528000,31.3000488,0.625,0.524
12212133111210,28.2172893,33.6291504,0.458,0.466
12212112021300,30.3633958,31.2121582,0.143,0.520
12212121130202,29.1233728,30.5969238,-0.249,0.458
12212313023311,25.2347581,32.6843262,0.153,0.479
12212121131013,29.2001230,30.8386230,0.215,0.504
12212112021330,30.3254708,31.2561035,0.540,0.549
12212110231233,30.9116505,31.5417480,0.671,0.501
12212110222012,30.8739398,30.9924316,0.503,0.520
12212310010300,26.9710372,31.3879395,0.195,0.553
12212110221311,30.9681888,31.2780762,0.113,0.510
12213200000110,27.0493412,33.8928223,0.598,0.505
12212101232322,30.7607184,29.9816895,0.702,0.435
12212310313332,26.1258498,32.3107910,-0.508,0.454
12212112032313,30.1926178,31.4538574,0.758,0.514
12212110213213,31.0999813,31.5417480,0.233,0.505
12212101301300,31.2691604,30.5090332,0.299,0.526
12212110203102,31.1752094,31.2121582,1.165,0.530
12212120323230,28.3333947,29.0588379,0.142,0.471
12212112113213,30.4960174,32.2448730,0.114,0.484
12212112012200,30.5149486,31.3000488,-0.113,0.549
12212133111011,28.2947070,33.6511230,-0.052,0.402
12212011022003,31.4755236,26.7517090,-0.203,0.478
12212112003032,30.5338761,31.1682129,0.769,0.524
12212101302011,31.1940070,30.3112793,-0.843,0.500
12212110033022,31.4380367,31.4758301,0.340,0.450
12213223010211,23.1504616,35.5847168,0.145,0.468
12212110202323,31.0623449,31.0583496,0.623,0.494
12212101233200,30.8173458,30.0695801,0.053,0.509
12212101312230,31.0811650,30.6408691,-0.178,0.510
12212011210110,31.3442540,27.2131348,0.420,0.482
12212101300300,31.2691604,30.3332520,-0.267,0.466
12212110211120,31.3067147,31.5637207,-0.286,0.505
12212121113322,29.2384766,30.8605957,0.051,0.493
12212112030133,30.3823528,31.4538574,0.725,0.565
12212311232023,25.8888782,32.7282715,0.343,0.546
12212313212003,24.9760991,32.7282715,-0.394,0.430
12212011211223,31.2128010,27.2790527,-0.134,0.386
12212310301210,26.3426524,31.8713379,0.434,0.516
12212123112313,28.0428943,30.7507324,0.329,0.509
12212113000012,30.7229484,32.3986816,0.148,0.424
12212110232231,30.7795979,31.3659668,0.655,0.555
12212111222213,30.7984737,32.4206543,0.194,0.509
12212112012031,30.5528000,31.3659668,0.606,0.559
12212130010000,29.5256700,31.3000488,0.472,0.569
12212112121000,30.4392016,31.8273926,-0.187,0.471
12212121131032,29.1617551,30.8166504,0.252,0.516
12212113000210,30.6662655,32.3986816,-0.021,0.396
12212110223320,30.7795979,31.2121582,0.378,0.498
12212110330310,30.9681888,32.1350098,-0.812,0.460
12212110230023,30.9870275,31.3220215,0.240,0.512
12212310031123,26.6769127,31.5856934,0.418,0.530
12212101321101,31.0435212,30.5310059,0.433,0.505
12212110232312,30.7984737,31.4318848,0.121,0.533
12212112101110,30.7418353,31.9592285,0.206,0.511
12212110330102,31.0246937,32.0910645,-0.273,0.519
12212121103102,29.3534512,30.5090332,-0.744,0.430
12212030021002,29.2001230,25.4992676,-0.248,0.410
12212112010233,30.6095493,31.3659668,0.259,0.569
12212310010120,27.0101960,31.3879395,1.015,0.522
12212103111233,30.6095493,30.8386230,0.231,0.533
12212112120002,30.4202557,31.6516113,-0.641,0.493
12212101302131,31.1564079,30.3991699,0.123,0.528
12212311230332,25.9679218,32.8381348,0.800,0.545
12212110033232,31.3630180,31.5197754,0.388,0.516
12212110023023,31.4380367,31.1462402,-0.110,0.571
12212101133230,31.3817783,30.8166504,-0.631,0.450
12212101210332,31.2128010,30.0256348,0.412,0.535
12212101310332,31.2128010,30.7287598,0.049,0.523
12212103110312,30.6473638,30.7287598,-0.820,0.500
12212110210021,31.3067147,31.3220215,0.211,0.541
12212101320122,30.9870275,30.3332520,0.363,0.509
12212110320221,30.9305004,31.6735840,-0.477,0.538
12212110232123,30.8362142,31.4099121,0.286,0.539
12212121110333,29.3917473,30.7507324,-0.242,0.516
12212103111022,30.6851635,30.7727051,0.288,0.528
12212011201011,31.3442540,26.9714355,-0.762,0.400
12212101221320,30.9305004,29.8059082,0.122,0.517
12212101320202,30.9493465,30.2453613,0.177,0.501
12212112002331,30.4770825,31.1022949,-0.086,0.517
12212113022331,30.1736241,32.5085449,-0.010,0.476
12212310122212,26.4804067,31.6955566,-0.234,0.506
12212110321111,31.0435212,31.9812012,-0.455,0.486
12212101310121,31.3067147,30.7067871,0.532,0.519
12212121113213,29.2768159,30.8386230,0.040,0.528
12212100230021,31.0058624,28.5095215,-0.512,0.418
12212121331120,28.5652250,30.8605957,-0.331,0.466
12212110231123,30.9870275,31.5856934,0.530,0.518
12212110322313,30.7984737,31.8054199,0.370,0.514
12212101322213,30.7984737,30.3112793,0.136,0.540
12213200002131,26.8534790,33.9147949,0.044,0.403
12212103013203,30.4960174,30.0915527,-0.808,0.405
12212101221211,30.9681888,29.7839355,0.169,0.488
12212132223021,27.1666948,31.1462402,0.782,0.512
12212101312013,31.1752094,30.6628418,0.239,0.502
12212112000200,30.6662655,30.9484863,0.607,0.531
12212123110120,28.2560052,30.6848145,0.103,0.506
12212110213233,31.0623449,31.5417480,0.106,0.534
12212112010131,30.7040578,31.4538574,0.521,0.489
12212110222112,30.8739398,31.0803223,0.474,0.500
12212101302003,31.1752094,30.2673340,-0.240,0.558
12212112202010,29.9834863,30.9924316,0.554,0.481
12212123131003,27.9652945,30.7946777,0.119,0.524
12212101212320,31.0811650,29.9816895,-0.112,0.534
12212313213101,24.9960153,32.9919434,-0.078,0.428
12212121312331,28.6423887,30.7507324,0.137,0.535
12212110121222,31.5129954,31.8273926,0.753,0.480
12212101330000,31.0435212,30.5969238,0.418,0.557
12212110321011,31.0435212,31.8933105,0.102,0.551
12212130010220,29.4108899,31.3000488,-0.267,0.463
12212313213220,24.8764695,32.8820801,0.037,0.520
12213202100033,25.7306321,34.5300293,-0.570,0.422
12212331100002,24.4971459,33.0578613,0.027,0.408
12212100230302,30.9493465,28.5754395,-0.416,0.390
12212101220201,30.9681888,29.5642090,0.244,0.515
12212111230022,30.9870275,32.7062988,-0.374,0.490
12212101220223,30.9116505,29.5642090,0.460,0.522
12213000230011,31.0435212,34.1784668,-0.634,0.321
12212110331213,30.9493465,32.2448730,-0.326,0.443
12212100323320,30.7795979,29.1027832,-0.151,0.425
12212101320123,30.9870275,30.3552246,0.266,0.498
12212130000302,29.4300290,31.0363770,0.020,0.490
12212112000103,30.7229484,31.0583496,0.119,0.557
12212313210103,25.1353386,32.8161621,-0.488,0.422
12212111231031,31.0058624,32.9479980,0.558,0.465
12212101203313,31.0999813,29.8718262,0.509,0.474
12212110321300,30.9681888,31.9152832,-0.537,0.508
12212112003323,30.4581439,31.2341309,0.631,0.521
12212113202113,29.9644524,32.5085449,0.847,0.459
12212122100320,28.1785594,28.9270020,-0.335,0.437
12212103012113,30.5717201,30.0476074,-0.338,0.441
12212310313222,26.1258498,32.1789551,0.356,0.528
12212100221010,31.0435212,28.3557129,0.238,0.475
12212310331203,26.0074237,32.2009277,0.236,0.533
12212010030213,31.5504522,25.7409668,-0.311,0.383
12212131300112,28.8927784,33.1896973,0.538,0.472
12213022220201,27.2839252,33.7829590,0.558,0.502
12212101313130,31.1564079,30.9045410,-0.295,0.492
12212100332301,30.8173458,29.3005371,0.054,0.443
12212101213001,31.1940070,30.0915527,0.049,0.529
12212303303331,24.8764695,30.5749512,-0.101,0.419
12212110321230,30.9305004,31.8713379,0.718,0.535
12212121130020,29.1809408,30.5969238,-0.272,0.463
12212112112022,30.5338761,32.0031738,0.151,0.555
12212112012321,30.4770825,31.4099121,0.282,0.545
12212110322223,30.7607184,31.6735840,-0.262,0.526
12212121111332,29.3917473,30.9045410,0.304,0.571
12212302102011,25.6316212,28.9050293,0.253,0.500
12212110320120,31.0058624,31.7395020,-0.163,0.545
12212302102003,25.6118091,28.8610840,0.174,0.550
12212101313321,31.0811650,30.8825684,0.223,0.527
12212110332131,30.8550788,32.1569824,-0.176,0.458
12213002003223,30.4581439,33.9587402,-0.609,0.311
12212101220310,30.9681888,29.6740723,0.758,0.478
12212110123110,31.4942613,31.9592285,0.019,0.438
12212101320020,31.0058624,30.2453613,-0.677,0.489
12212110302023,31.1376028,31.6735840,-0.351,0.507
12213221003210,24.2770121,35.3869629,0.049,0.467
12212103130112,30.4202557,30.7287598,-0.168,0.484
12212110210211,31.2691604,31.3659668,0.040,0.506
12212112011233,30.6095493,31.5417480,-0.136,0.522
12212130021000,29.2193016,31.1242676,0.210,0.529
12212101301010,31.3442540,30.4650879,0.486,0.523
12212101302232,31.0623449,30.2893066,0.348,0.535
12212101303220,31.0811650,30.4211426,0.187,0.555
12212110231033,30.9870275,31.5417480,0.063,0.540
12212110321103,31.0246937,31.9372559,0.268,0.535
12212313002123,25.5721751,32.4645996,0.017,0.547
12212120322031,28.4107280,28.9050293,-0.516,0.339
12212011213001,31.1940070,27.2790527,-0.867,0.368
12212103030221,30.3254708,29.9157715,-0.297,0.392
12212310122100,26.5787018,31.7395020,0.239,0.525
12212101320321,30.9305004,30.3552246,-0.590,0.494
12212310031032,26.6769127,31.5197754,0.340,0.515
12212113312012,29.9644524,33.4533691,0.196,0.445
