latitude,longitude,rwi,error
8.6136097,35.6945801,-0.331,0.370
8.5267005,40.3527832,-0.445,0.365
6.6973426,35.8703613,-0.255,0.379
9.0044514,38.3312988,-0.177,0.365
7.3951528,38.1335449,0.051,0.400
7.4605176,40.1330566,-0.528,0.370
7.8307313,37.4304199,-0.321,0.377
7.8307313,37.5402832,-0.055,0.393
12.2863336,36.3317871,-0.011,0.328
5.6706511,37.4523926,-0.349,0.378
10.4986143,38.2873535,-0.169,0.351
5.1894234,39.6276855,-0.453,0.371
7.5040887,37.5402832,0.069,0.378
12.4365763,39.5617676,0.691,0.401
9.1780244,41.8469238,-0.248,0.361
5.0581143,37.7380371,-0.207,0.365
10.1960002,36.9250488,-0.400,0.372
8.9610451,36.1340332,-0.237,0.361
8.2006163,45.2307129,-0.893,0.331
7.6129974,37.6940918,-0.589,0.383
7.3951528,39.4738770,-0.651,0.372
13.4216803,38.9465332,-0.186,0.301
10.4770087,40.4187012,-0.919,0.349
11.8135879,38.0676270,-0.466,0.350
12.5867322,39.7814941,-0.637,0.328
10.2392486,39.7814941,-0.497,0.348
11.0382553,39.6936035,-0.124,0.361
9.0044514,34.4641113,-0.744,0.370
6.3262180,38.7048340,-0.214,0.393
11.9426009,36.9030762,-0.304,0.331
11.7275454,37.0349121,-0.076,0.449
8.4615055,44.9670410,-0.270,0.328
7.0681852,39.0344238,-0.611,0.397
5.9766803,42.2204590,-0.414,0.361
11.6199546,37.0568848,-0.327,0.364
7.5258726,37.6501465,-0.294,0.383
10.3689583,37.8698730,0.111,0.442
8.6787785,36.8811035,-0.012,0.388
9.0044514,37.4084473,-0.222,0.386
7.8307313,34.0246582,-0.726,0.387
6.9155204,42.3962402,-0.586,0.360
7.9395558,36.5734863,-0.321,0.378
9.7415422,42.1325684,-0.286,0.348
10.1094859,37.9797363,-0.597,0.351
9.6982277,36.9250488,-0.488,0.354
8.6136097,44.1979980,-0.795,0.336
8.0483515,38.1994629,-0.329,0.387
10.9304048,37.8039551,-0.244,0.346
9.3948711,42.0886230,-0.155,0.356
8.8090822,35.1892090,-0.272,0.365
5.8892605,39.5397949,-0.832,0.370
12.3078021,38.2434082,-0.473,0.332
5.7799663,45.1867676,-0.880,0.352
13.9127399,37.8259277,-0.591,0.300
14.4453192,38.3532715,-0.419,0.295
8.7004990,37.4084473,-0.229,0.369
8.9827489,39.5178223,0.017,0.353
5.2550677,36.6394043,-0.476,0.375
9.1346391,40.1550293,0.030,0.492
10.3905714,39.7375488,-0.038,0.342
9.6115820,35.9802246,-0.347,0.371
7.8307313,37.1447754,-0.237,0.389
11.9640971,36.4196777,-0.239,0.332
9.5249141,40.7263184,-0.698,0.348
12.5652867,37.4523926,0.209,0.493
9.4382242,39.1442871,-0.339,0.363
8.3310827,37.5402832,-0.623,0.376
8.0701072,37.8039551,-0.195,0.377
10.0229482,38.5510254,-0.617,0.369
7.1335976,39.0344238,-0.228,0.401
10.6066195,36.1120605,-0.061,0.376
10.8009324,38.3093262,-0.957,0.350
8.9393399,39.3640137,0.109,0.405
6.6973426,38.7927246,-0.159,0.395
4.8611009,39.3200684,-0.209,0.357
12.0285754,39.1882324,-0.386,0.341
6.8718928,38.5290527,-0.216,0.396
6.6536952,37.9577637,-0.781,0.398
5.6050520,43.3850098,-0.784,0.366
11.6199546,38.5729980,-0.501,0.346
9.4382242,35.1452637,-0.262,0.373
11.2322862,36.0241699,-0.382,0.351
12.2219175,36.3977051,-0.287,0.326
7.4605176,37.0568848,-0.356,0.381
9.5682508,36.9689941,0.090,0.371
8.7439361,35.8264160,-0.721,0.367
6.9373327,42.5280762,-0.677,0.358
5.4957038,45.4284668,-0.890,0.347
9.9147437,38.4191895,-0.490,0.362
12.9296144,37.6062012,-0.181,0.318
7.8960294,36.2219238,-0.428,0.390
6.6100440,38.3312988,-0.087,0.402
10.9304048,39.4958496,-0.327,0.340
10.7577626,42.2204590,-0.544,0.330
13.6139558,39.4958496,-0.189,0.317
6.9809543,35.9143066,-0.423,0.381
12.7582314,39.4958496,-0.217,0.340
9.8498038,37.5622559,-0.334,0.355
9.2430925,38.7268066,-0.614,0.373
10.6498109,36.0241699,-0.296,0.361
5.6487856,38.2214355,-0.204,0.493
7.8960294,38.1115723,-0.327,0.377
10.5634219,35.8703613,-0.626,0.363
8.9393399,38.3312988,-0.498,0.358
8.5049700,36.7053223,-0.201,0.386
8.6787785,37.1667480,-0.303,0.365
11.5553801,38.5510254,-0.381,0.351
8.0048367,36.3757324,-0.505,0.372
4.4011829,42.3962402,-0.397,0.362
5.1894234,41.8469238,-0.611,0.368
8.0918616,41.4733887,-0.546,0.350
13.9980363,39.2321777,-0.438,0.319
8.5918843,39.6276855,-0.090,0.354
5.9111167,39.0344238,0.436,0.382
9.0695511,43.7145996,-0.229,0.343
9.0261526,37.0788574,-0.399,0.369
11.8565990,38.1115723,-0.152,0.337
11.9640971,39.4299316,0.026,0.397
9.0044514,36.9909668,-0.386,0.366
9.9147437,42.1545410,-0.549,0.344
13.1864679,37.7600098,-0.147,0.314
7.6783293,36.5734863,-0.040,0.375
13.3361750,38.5949707,-0.214,0.309
5.6925158,38.3532715,-0.430,0.379
8.7873681,37.7160645,-0.163,0.371
8.7873681,43.4069824,-0.687,0.356
7.9177932,39.7595215,-0.124,0.371
13.9340669,38.6169434,-0.313,0.316
9.1129444,37.1008301,-0.066,0.366
11.7060306,37.2985840,-0.248,0.372
9.9580298,36.2219238,-0.521,0.371
11.5123222,39.5837402,-0.762,0.347
5.9329721,43.3410645,-0.103,0.369
8.2875987,33.4313965,-0.217,0.376
9.4815719,42.1105957,-0.040,0.346
6.0640861,37.2766113,0.255,0.387
12.1360050,37.6062012,-0.422,0.335
6.2606973,36.9689941,-0.597,0.374
8.1353671,43.6486816,-0.582,0.351
8.8959258,43.6486816,-0.548,0.340
11.2753865,39.0563965,-0.497,0.363
11.7920798,37.1667480,-0.245,0.339
9.3515125,38.9245605,-0.598,0.375
7.3297783,35.7165527,-0.484,0.380
12.2433913,37.2106934,-0.221,0.344
10.5418209,39.2321777,-0.447,0.355
9.8930985,35.3649902,-0.638,0.371
7.9613173,39.0124512,-0.376,0.385
6.7846256,35.1672363,-0.533,0.373
9.6115820,39.7155762,-0.701,0.364
8.1571180,36.7932129,-0.030,0.375
11.8996033,38.4851074,-0.350,0.333
8.2223637,35.4089355,-0.293,0.378
6.4354006,37.0349121,-0.461,0.385
9.3515125,42.5720215,-0.505,0.365
7.1772006,36.6833496,-0.192,0.377
12.3936586,38.5070801,-0.807,0.331
7.3297783,39.4738770,-0.224,0.371
8.5049700,39.4519043,-0.334,0.363
13.1222796,39.7155762,-0.397,0.303
9.5249141,37.9577637,-0.456,0.371
6.7191648,39.5178223,-0.402,0.372
6.9809543,39.3640137,-0.130,0.389
9.3081485,35.4968262,-0.421,0.374
4.0286586,41.8249512,-0.558,0.370
5.9329721,37.8259277,0.098,0.370
11.1460662,38.7487793,-0.249,0.365
7.8089630,40.0231934,-0.326,0.370
8.1136149,45.7141113,-0.885,0.332
8.0048367,36.4855957,0.377,0.425
9.3948711,35.1452637,-0.438,0.374
6.2388552,36.1340332,-0.345,0.371
8.9176335,39.5617676,-0.411,0.355
12.2004420,36.5075684,-0.343,0.324
5.9766803,39.6936035,-0.250,0.366
12.6939327,36.9470215,-0.266,0.322
10.1960002,38.8366699,-0.728,0.364
7.6565531,37.7600098,-0.674,0.423
8.9827489,43.0114746,-0.546,0.359
7.2643942,35.9582520,-0.361,0.396
10.0013102,39.4079590,-0.224,0.343
5.4957038,41.7150879,-0.953,0.368
9.0478525,41.7810059,-0.044,0.342
7.8960294,43.0993652,-0.687,0.347
8.7656527,37.1228027,-0.498,0.364
9.6332456,38.2214355,-0.396,0.364
9.7415422,37.2766113,-0.341,0.351
5.0800010,36.0021973,-0.228,0.367
8.1136149,38.1555176,-0.144,0.378
9.3731925,43.2971191,-0.550,0.347
7.4169421,38.3093262,-0.604,0.394
12.5438394,39.6936035,-0.575,0.337
8.5701576,40.2868652,-0.323,0.363
12.9081979,39.5837402,-0.213,0.319
14.1259215,38.9685059,-0.360,0.379
6.9809543,36.5295410,-0.165,0.390
5.7581050,39.5178223,-0.897,0.368
3.9629009,41.3635254,-0.497,0.365
7.6783293,38.1774902,-0.339,0.393
11.1891794,37.8039551,-0.160,0.347
6.5882169,37.4304199,-0.378,0.397
9.0261526,41.2316895,-0.184,0.350
8.5484296,35.4968262,-0.582,0.382
6.8937071,39.0124512,-0.202,0.378
9.4815719,38.8146973,-0.368,0.359
6.6536952,37.5402832,-0.540,0.411
5.9766803,38.5070801,-0.394,0.389
8.0483515,37.2766113,-0.295,0.388
8.6570568,36.2219238,-0.639,0.373
8.0265947,37.8698730,-0.392,0.372
7.5912178,36.6394043,-0.355,0.375
5.4738318,38.5510254,-0.440,0.372
5.3863356,37.1667480,-0.516,0.372
9.1997151,42.9235840,-0.290,0.342
9.1780244,43.8244629,-0.392,0.346
7.0681852,40.7922363,-0.458,0.378
5.0362268,37.9357910,-0.804,0.364
8.3745618,40.3967285,-0.459,0.360
10.7361753,36.9470215,-0.356,0.348
8.4397714,37.8479004,-0.184,0.386
10.8225151,36.6613770,-0.573,0.346
10.0013102,34.6838379,-0.324,0.367
10.9519780,39.2980957,-0.112,0.356
9.1129444,43.3850098,-0.710,0.343
8.7222181,41.6491699,-0.551,0.344
8.7439361,39.2980957,-0.654,0.386
12.1789647,37.9357910,-0.242,0.345
