latitude,longitude,rwi,error
0.3186019,34.7497559,0.707,0.522
1.1315182,36.5734863,-0.344,0.425
-0.7140928,36.8151855,-0.118,0.460
0.5822654,39.3640137,-0.698,0.364
1.2413579,35.8703613,-0.584,0.351
4.0944111,40.7482910,-1.190,0.354
3.8313699,41.7590332,-0.575,0.367
-0.6481795,36.3977051,0.299,0.458
0.2087398,40.5944824,-0.171,0.389
0.8678867,35.6066895,-0.101,0.359
3.3269861,41.1877441,-0.999,0.368
-1.1534865,34.9914551,-0.142,0.352
-3.2611771,40.1110840,0.469,0.475
3.5243866,34.6179199,-0.473,0.352
-1.4390576,36.5075684,-0.555,0.470
-1.3951258,37.5842285,0.212,0.402
-0.1867672,34.3981934,0.053,0.419
0.1428221,35.8264160,-0.142,0.403
0.0769043,34.2883301,0.570,0.535
-1.4390576,38.0676270,0.226,0.427
2.2735730,36.1560059,-0.075,0.359
-4.2478122,38.9685059,-0.508,0.348
1.1315182,37.1447754,-0.498,0.381
1.7685179,35.1452637,-0.188,0.347
2.1857489,40.2648926,-0.951,0.354
1.9442068,39.9353027,-1.054,0.358
0.2307123,35.1672363,-0.333,0.431
-0.4724067,39.6496582,1.304,0.534
0.8898568,35.2770996,0.356,0.366
-0.1208495,36.6613770,-0.120,0.448
-2.2735730,37.9797363,-0.347,0.406
0.6262082,34.2663574,0.798,0.533
-1.5488836,36.1120605,-0.601,0.357
-1.0436434,37.7380371,-0.220,0.360
-1.0875811,37.6940918,-0.069,0.411
-0.0769043,34.6398926,0.263,0.459
0.3186019,40.0891113,-0.514,0.388
-1.7026302,35.8044434,0.533,0.420
-2.1198775,37.0349121,-0.787,0.361
-0.8898568,35.8703613,-0.429,0.405
0.4064907,34.2883301,-0.309,0.450
-0.6481795,37.0568848,0.392,0.463
0.0549316,35.7165527,1.267,0.571
-1.8563646,36.3317871,-0.533,0.369
2.6028640,40.8581543,-0.692,0.377
-1.2193903,34.5300293,0.154,0.437
-2.4052990,37.5402832,0.014,0.481
-0.6042368,36.1560059,0.073,0.384
-1.5928123,35.6066895,-0.775,0.379
-0.1647947,38.2653809,-0.524,0.368
0.5383221,34.5080566,-0.355,0.441
-0.4064907,35.5407715,-0.172,0.421
-1.1315182,35.4309082,-0.606,0.378
-2.3394375,37.3864746,-0.555,0.355
-1.2633253,38.0236816,-0.504,0.430
-0.3186019,36.4855957,-0.139,0.458
0.6481795,34.3542480,0.051,0.385
-2.9101249,40.1550293,-0.198,0.376
0.2087398,35.6286621,-0.411,0.391
0.0549316,34.4860840,0.135,0.462
3.5024552,39.0124512,-0.481,0.366
0.4284628,37.5842285,-0.479,0.486
-1.6367402,37.8479004,-0.690,0.426
-1.1974226,35.4528809,-0.500,0.353
-2.4931093,40.4626465,-0.329,0.385
-0.6262082,34.8815918,0.578,0.537
-1.3951258,36.7053223,0.881,0.508
-0.2307123,35.2111816,-0.650,0.461
-0.1867672,38.0676270,-0.304,0.387
0.7800052,37.1228027,-0.774,0.374
1.6147764,37.0788574,-0.673,0.371
-2.4711573,38.0017090,-0.473,0.455
0.0329590,37.8918457,0.100,0.412
-1.6587038,36.7053223,-0.500,0.357
-1.6806671,37.2546387,-0.664,0.394
1.3511931,39.7595215,-0.554,0.370
0.9118267,36.5954590,-0.654,0.363
-2.4931093,38.0676270,-0.410,0.402
-0.3845186,34.4641113,-0.138,0.387
0.1647947,35.8923340,-0.280,0.416
-0.7140928,36.9689941,0.639,0.541
1.2413579,35.0354004,-0.611,0.413
-0.2746571,36.3977051,-0.075,0.463
1.6587038,35.4748535,-0.641,0.362
0.0109863,35.7385254,-0.512,0.450
0.7580345,39.3200684,-0.063,0.362
-1.8783255,36.5295410,-0.800,0.352
-0.8459165,36.2878418,0.229,0.492
2.5809138,39.6936035,-0.625,0.359
1.7465556,40.5505371,-0.293,0.353
-1.2193903,36.4855957,-0.224,0.403
-1.1095498,34.8376465,-0.407,0.351
0.2746571,37.7380371,-0.446,0.374
-0.8019758,34.9694824,-0.210,0.452
-2.0540032,38.1115723,-0.328,0.382
-2.9320690,37.5402832,0.493,0.479
0.0329590,37.9577637,-0.015,0.462
-2.6248138,40.1330566,-0.876,0.473
-1.1754546,35.5847168,-0.402,0.356
-1.3292264,37.8698730,-0.315,0.409
1.3511931,34.9694824,-0.236,0.354
-0.3845186,34.7717285,0.098,0.530
-0.0329590,36.1120605,0.157,0.437
0.3186019,34.6838379,-0.215,0.436
-0.9997051,34.6618652,0.269,0.382
-1.3072596,34.8596191,-0.046,0.400
-0.9777357,36.9250488,0.274,0.514
-0.8019758,35.9582520,-0.570,0.403
-1.6587038,38.1115723,-0.388,0.384
-1.0875811,36.8371582,1.057,0.515
1.0436434,35.3430176,0.106,0.408
-0.8459165,36.4636230,-0.569,0.483
-2.1198775,36.8151855,-0.093,0.393
0.8239462,35.4309082,-0.274,0.380
1.0436434,35.6066895,-0.841,0.426
0.8459165,36.5295410,-0.638,0.362
-3.0198411,37.6940918,-0.240,0.351
-1.8344033,37.9577637,-0.791,0.363
-3.0856655,40.1550293,0.869,0.495
-1.2413579,37.4084473,0.462,0.472
-1.5928123,36.3977051,-0.303,0.373
-2.4711573,40.1770020,-0.103,0.450
0.0109863,38.0456543,-0.674,0.400
-0.3186019,37.9138184,-0.159,0.421
0.6701507,40.2868652,-0.832,0.360
-1.9881263,36.8811035,0.119,0.358
1.9002862,40.6604004,-0.706,0.352
-2.8442900,37.5622559,-0.634,0.489
-0.0549316,34.0466309,0.314,0.535
0.8898568,35.8044434,-0.984,0.351
1.0216743,35.4309082,-0.377,0.409
-1.8563646,37.8698730,-0.336,0.372
-2.2077054,36.9689941,-0.392,0.371
4.4011829,35.2111816,-0.546,0.357
-0.9118267,37.4523926,-0.186,0.422
-1.5488836,35.4528809,-0.299,0.442
0.4724067,35.6066895,-0.355,0.463
0.6262082,35.6945801,-0.557,0.387
-2.8223442,40.0231934,-0.893,0.354
3.5243866,35.8044434,-0.516,0.359
4.7297265,35.4089355,-0.612,0.361
-3.3708564,39.6936035,-0.646,0.388
-0.7800052,35.2990723,0.541,0.482
1.3072596,35.6066895,-0.321,0.379
-0.7140928,34.9694824,-0.277,0.442
-0.5383221,38.1335449,-0.258,0.396
-0.9777357,37.0349121,-0.038,0.478
1.0875811,36.6174316,-0.546,0.364
-0.8459165,34.2883301,0.110,0.402
0.1647947,37.9577637,0.014,0.479
-1.3072596,35.1892090,0.050,0.454
-0.0109863,39.4738770,-0.928,0.380
0.2087398,38.0676270,-0.703,0.427
3.2611771,35.2990723,-0.819,0.355
1.3072596,35.9582520,-0.351,0.349
-0.2966295,34.3542480,0.171,0.438
-1.8124418,37.2985840,-0.536,0.401
-2.2077054,36.4855957,-0.614,0.351
-3.5024552,39.4738770,-0.194,0.349
-1.3731595,40.7263184,-0.611,0.372
-1.1974226,37.3205566,-0.053,0.423
0.2526847,37.5622559,-0.393,0.427
-1.0656124,35.9802246,-0.436,0.511
-0.7580345,34.2883301,0.362,0.489
0.2307123,35.6286621,-0.306,0.359
-1.8124418,36.8591309,-0.470,0.420
-1.8783255,36.7492676,0.081,0.409
-1.0656124,37.9577637,-0.191,0.410
2.5809138,36.2438965,-0.251,0.354
-0.7360637,39.8034668,-0.240,0.392
1.3292264,35.7824707,-0.620,0.361
-0.8678867,38.3752441,-0.814,0.454
-2.1198775,37.8259277,-0.712,0.400
-1.3951258,38.1994629,-0.456,0.371
1.0216743,40.2648926,-0.906,0.361
0.4504348,34.6838379,-0.283,0.432
0.8019758,39.9792480,-0.850,0.362
1.9222467,36.9909668,-0.426,0.379
3.3927908,40.9240723,-0.723,0.378
-1.3731595,37.6062012,0.303,0.399
-0.6921218,37.7160645,-0.362,0.407
-2.1857489,38.1774902,-0.506,0.358
-2.0759616,40.1550293,0.083,0.379
-0.8459165,34.9914551,-0.033,0.434
-1.2413579,35.4528809,-0.331,0.371
-4.1601581,39.1223145,-0.380,0.364
0.2966295,34.0466309,-0.600,0.352
-1.7465556,37.0129395,-0.531,0.357
0.2746571,38.0456543,-0.403,0.449
-0.8898568,35.7385254,-0.624,0.408
-1.1534865,34.8156738,-0.220,0.354
-2.1198775,38.1555176,-0.629,0.372
-1.7026302,38.0456543,-0.846,0.395
-4.5107140,39.2541504,-0.065,0.391
1.0216743,35.2990723,-0.132,0.459
-0.1428221,34.9255371,-0.427,0.453
-0.7360637,37.0349121,0.295,0.479
-0.2307123,37.9357910,0.036,0.392
2.4492049,35.4748535,-0.771,0.348
-0.7580345,36.6394043,0.069,0.475
-2.4272521,36.5954590,-0.366,0.362
-0.2307123,37.9138184,-0.533,0.417
-0.6481795,35.2111816,0.096,0.462
-1.6806671,37.2985840,-0.079,0.430
-1.7904800,37.1887207,-0.062,0.506
0.6042368,35.6726074,-0.223,0.404
2.9320690,41.0778809,-0.715,0.350
-1.0656124,34.3981934,0.092,0.426
0.7800052,35.4748535,0.262,0.377
-0.1647947,38.0236816,-0.615,0.381
-0.8459165,37.4523926,-0.118,0.398
0.9118267,35.1672363,-0.219,0.381
-0.4284628,37.2985840,0.235,0.539
2.1418349,39.2761230,-0.584,0.351
-3.8094460,39.1662598,-1.018,0.372
-4.2039864,39.0344238,-0.619,0.347
-1.1095498,37.0349121,0.377,0.497
-0.9557662,37.8479004,-0.650,0.372
-2.2735730,38.1335449,-0.749,0.354
-0.3186019,34.8815918,0.025,0.467
-0.6262082,37.2106934,0.190,0.468
-1.3511931,38.5290527,-0.721,0.372
1.1315182,35.8483887,-0.404,0.348
-0.9118267,36.9250488,0.224,0.500
-0.9118267,35.3869629,0.078,0.403
-0.7800052,34.9255371,0.213,0.471
-0.8459165,36.0681152,-0.333,0.405
-3.4805234,39.6716309,-0.554,0.391
-4.4011829,39.0563965,-0.617,0.356
-2.2735730,36.3757324,-0.289,0.349
-1.0216743,35.4309082,-0.113,0.371
-0.1867672,37.7600098,0.056,0.403
-3.7217452,39.6496582,-0.991,0.402
-0.8459165,38.0236816,-0.431,0.387
0.9118267,35.0134277,-0.478,0.449
0.0109863,36.9909668,0.194,0.467
0.0549316,37.1008301,-0.147,0.495
