quadkey,latitude,longitude,rwi,error
03311231211311,33.6420620,-6.3391113,-0.357,0.466
03311303023030,34.9850026,-3.9880371,-0.363,0.422
03311320002300,34.0799618,-5.5261230,0.720,0.586
03311233011321,33.0178755,-6.3830566,-0.148,0.391
03311303133111,35.0209992,-2.8234863,-0.025,0.448
03313010101213,31.8495649,-7.4816895,-0.117,0.461
03311232101031,33.0915411,-7.4816895,-0.456,0.443
03313001322101,30.8927970,-9.0197754,-0.609,0.421
03311233233102,32.0732651,-6.4050293,-0.433,0.390
03311232321121,32.2035049,-7.4377441,-0.436,0.447
03311232202122,32.3335585,-8.3386230,0.292,0.443
03313011011033,31.8868861,-6.4270020,-0.131,0.427
03311302323133,34.3887788,-4.5812988,0.112,0.394
03313003112203,30.4960174,-8.7561035,0.530,0.496
03311300203002,35.8623432,-5.4382324,0.315,0.504
03313001133133,31.4380367,-8.4484863,-0.753,0.433
03311303222212,34.3525062,-4.1638184,-0.107,0.446
03313003111332,30.6095493,-8.4704590,-0.007,0.524
03311231013133,34.0981589,-6.3391113,-0.024,0.481
03311213122223,34.8949420,-6.2951660,0.690,0.567
03311231202212,33.4772717,-6.9763184,-0.955,0.459
03311223310300,32.4634255,-8.6901855,-0.390,0.447
03313011222133,30.8362142,-6.8664551,-0.713,0.383
03311213330310,34.5156090,-5.8337402,0.202,0.429
03311312021202,35.0749644,-2.6257324,-0.060,0.475
03311232033112,32.6671243,-7.7673340,0.304,0.470
03313021010200,29.4491644,-9.4812012,-0.372,0.408
03311223130013,32.8149779,-8.7121582,0.254,0.459
03311312230023,34.5337119,-2.4279785,-0.861,0.429
03311312213110,34.7325837,-2.1423340,-0.547,0.437
03313011010313,31.8495649,-6.5148926,-0.314,0.427
03311230313003,33.5505507,-7.1740723,-0.615,0.503
03313012000201,30.6662655,-8.4045410,-0.007,0.472
03311233213231,32.2778440,-6.4270020,0.185,0.574
03311223323031,32.0546442,-8.8879395,-0.091,0.436
03313003031201,30.3633958,-9.2834473,0.250,0.519
03311232303123,32.3335585,-7.4377441,-0.182,0.425
03313003230312,29.7357620,-9.3493652,-0.325,0.444
03311231222101,33.2754349,-6.9104004,-0.286,0.443
03311322203132,32.3335585,-5.3063965,-0.504,0.387
03311233210122,32.4819627,-6.5808105,-0.096,0.479
03311232203033,32.3335585,-8.1848145,-0.508,0.424
03311232021123,32.7780375,-8.1408691,-0.265,0.476
03311230322122,33.2203073,-7.6354980,-0.225,0.525
03311330003020,34.1163520,-2.6257324,-0.307,0.554
03313013023203,30.1926178,-6.8225098,-0.615,0.381
03311233121020,32.7965096,-6.1413574,-0.175,0.415
03311320333303,33.1835362,-4.2736816,-1.017,0.386
03311323212232,32.2592650,-3.8122559,-0.641,0.405
03311233302221,32.2778440,-6.2951660,0.154,0.429
03311320033103,33.8430448,-4.9768066,-0.249,0.491
03311231022330,33.7517474,-6.8884277,-0.108,0.500
03311303132231,34.9129620,-3.0871582,-0.257,0.529
03313011030110,31.6440285,-6.5368652,0.560,0.435
03311231010333,34.1709079,-6.5148926,-0.585,0.548
03313100032202,31.4005349,-5.2624512,-0.175,0.438
03311312033032,34.9669984,-2.2302246,0.967,0.487
03311233122223,32.5560732,-6.2951660,-0.529,0.479
03311231221311,33.3488843,-6.6906738,-0.276,0.544
03311303222022,34.3887788,-4.2077637,-0.514,0.404
03313001202320,31.0811650,-9.7448730,-0.263,0.401
03313001022221,31.3817783,-9.8107910,0.133,0.640
03311213231111,34.5879970,-6.3391113,-0.199,0.480
03313010222022,30.8362142,-8.4265137,-0.146,0.404
03311312032031,34.9850026,-2.3840332,-0.119,0.465
03313010120121,31.6066092,-7.6135254,-0.461,0.483
03313020110331,29.4108899,-10.0305176,-0.509,0.473
03313012032211,30.2116078,-8.0090332,0.003,0.438
03311231010111,34.2980679,-6.5148926,0.585,0.547
03311320131030,33.9706975,-4.3395996,-0.386,0.393
03311302031301,35.0929448,-4.9768066,-0.116,0.505
03311312332202,34.3525062,-1.7468262,-0.466,0.417
03311233300303,32.4448845,-6.2072754,0.617,0.561
03311233103303,32.8888127,-6.0314941,-0.609,0.423
03311233301130,32.5004960,-6.0095215,-0.339,0.445
03313010031012,31.6253207,-7.8552246,-0.019,0.520
03311322030231,32.7225981,-5.1965332,-0.364,0.472
03311233330122,32.1849106,-5.8776855,0.153,0.468
03313101200123,31.2879394,-4.0979004,-0.417,0.474
03311223311320,32.4263397,-8.5144043,0.263,0.484
