latitude,longitude,rwi,error
8.6570568,4.5153809,-0.421,0.419
6.2606973,7.0422363,0.873,0.515
12.7796606,6.8225098,-0.477,0.370
12.6939327,9.3713379,-0.179,0.367
12.5223904,9.0637207,-0.733,0.354
9.6982277,6.0095215,-0.268,0.387
11.7490585,8.6462402,-0.540,0.424
8.3310827,3.1311035,-0.446,0.349
11.8996033,13.2824707,-0.814,0.358
4.9048867,6.3830566,-0.082,0.522
7.1117945,9.4812012,-0.757,0.346
11.9640971,8.6682129,-0.471,0.414
7.0899903,5.2624512,-0.473,0.395
11.2107336,12.7551270,-0.409,0.331
6.4572344,5.3063965,-0.163,0.446
12.6296178,13.7219238,-0.224,0.327
12.0500648,10.1843262,0.452,0.366
11.0813844,13.7219238,-0.373,0.338
12.4365763,6.8664551,-0.254,0.365
9.1997151,10.0085449,-0.429,0.400
8.3528229,12.1618652,-0.399,0.341
7.2643942,3.3508301,0.148,0.530
11.5123222,11.5026855,-0.383,0.364
6.6318701,9.3054199,-0.680,0.358
11.9211029,5.4162598,-0.674,0.353
12.8653594,13.8317871,0.098,0.349
12.2219175,8.1408691,-0.442,0.364
5.7362428,6.9543457,0.737,0.492
10.6714043,9.7009277,-0.194,0.358
7.8089630,11.3708496,-0.309,0.373
11.2753865,7.6574707,0.603,0.502
10.3473437,9.3054199,-0.497,0.401
7.6565531,4.5153809,-0.538,0.429
10.3257277,7.7014160,-0.331,0.498
12.7796606,7.2399902,-0.551,0.359
9.1563324,7.1520996,-0.502,0.436
6.1514779,6.5368652,-0.092,0.448
12.7368003,6.4270020,-0.320,0.383
12.2648633,8.8879395,-0.049,0.364
9.3731925,6.0754395,-0.365,0.370
11.0598206,8.3386230,-0.289,0.382
9.5249141,10.0524902,-0.806,0.363
5.1894234,6.2951660,0.247,0.547
8.9610451,3.5705566,-0.233,0.341
7.5040887,10.4919434,-0.484,0.349
10.6498109,8.8000488,-0.355,0.372
7.6347758,11.4807129,-0.461,0.373
9.0695511,9.6789551,-0.684,0.378
9.2214045,6.9982910,-0.004,0.402
6.1733235,6.9543457,0.931,0.532
4.7735207,8.2727051,-0.204,0.396
12.5438394,8.4045410,-0.198,0.371
6.5445599,9.5471191,-0.050,0.359
6.1514779,6.1633301,-0.031,0.477
11.8565990,4.1418457,-0.487,0.368
12.3507339,4.0319824,-0.251,0.388
7.0027636,3.0432129,0.483,0.553
6.8937071,7.9870605,-0.685,0.377
7.1772006,8.6242676,-0.600,0.345
10.4770087,13.3483887,-0.048,0.332
13.0366691,6.6687012,-0.966,0.412
12.0930384,10.8654785,-0.715,0.372
11.0382553,7.0422363,-0.584,0.359
11.6414761,10.7775879,-0.631,0.377
12.8439375,10.9533691,-0.406,0.365
4.8611009,8.5144043,-0.517,0.401
6.5227299,2.8015137,0.101,0.405
12.3507339,12.6013184,-0.269,0.337
5.5394455,7.4597168,1.068,0.515
11.6629959,7.5695801,-0.566,0.429
13.0794780,11.1071777,-0.929,0.367
5.9111167,6.9104004,0.902,0.476
11.7920798,10.8215332,-0.744,0.378
12.3721972,6.6247559,-0.037,0.500
7.0245718,4.9768066,0.150,0.365
9.7198857,7.1960449,-0.388,0.379
10.2608706,12.1398926,-0.325,0.355
11.6199546,10.3601074,-0.608,0.405
9.0478525,8.4265137,-0.370,0.412
7.5258726,3.4826660,-0.395,0.393
6.8282612,6.1413574,-0.180,0.391
12.9938527,8.2067871,-0.624,0.391
8.2875987,5.4602051,-0.531,0.367
12.4365763,11.4367676,-0.540,0.352
6.7628064,8.8439941,-0.630,0.369
6.5008990,2.7136230,0.274,0.393
12.5009395,9.6130371,-1.344,0.367
9.1346391,3.6804199,-0.381,0.346
7.1553996,8.0310059,-0.276,0.386
10.6282159,4.9987793,-0.332,0.349
7.3079846,9.1955566,-0.727,0.346
7.8307313,10.8435059,-0.362,0.348
11.6199546,7.1301270,-0.241,0.447
6.0859354,4.8669434,-0.536,0.417
5.7581050,6.8444824,0.754,0.558
12.5009395,12.8649902,-0.189,0.333
10.8440961,5.3723145,-0.423,0.347
8.8525066,9.2395020,-0.534,0.383
12.9938527,6.7126465,-0.379,0.394
10.1527460,6.8225098,-0.453,0.369
8.1571180,3.5266113,-0.426,0.377
8.5049700,10.7116699,-0.320,0.351
11.6199546,7.3278809,-0.326,0.382
11.8135879,8.9538574,-0.172,0.382
7.3733623,7.9211426,-0.057,0.391
5.5613152,7.1960449,0.148,0.462
8.1136149,3.5266113,-0.331,0.433
12.8653594,13.2604980,-0.179,0.332
6.3480564,7.2619629,-0.181,0.427
10.3905714,9.5471191,-0.732,0.368
9.6115820,4.7351074,-0.455,0.345
10.0878536,8.0090332,-0.199,0.357
10.7577626,4.7131348,-0.982,0.379
4.9705600,7.9650879,0.846,0.488
9.8930985,13.0627441,-0.595,0.329
13.2078602,8.0090332,-0.769,0.363
13.1650736,4.8229980,-0.529,0.359
8.4180361,2.8894043,-0.860,0.336
11.8781020,13.0847168,-0.016,0.463
11.0382553,4.8010254,-0.399,0.348
7.2425974,7.6574707,-0.168,0.382
7.1553996,6.1853027,0.334,0.532
7.8524985,7.5915527,-0.188,0.404
9.0261526,6.9763184,-0.726,0.402
6.9809543,8.9318848,-0.545,0.351
6.8937071,7.5695801,0.018,0.447
9.9796707,8.4924316,-0.467,0.403
6.6100440,6.9323730,-0.694,0.429
10.6714043,7.3498535,0.556,0.471
8.5267005,10.4479980,0.511,0.471
11.4261866,11.8322754,-0.896,0.348
12.6510579,9.7448730,-0.936,0.356
10.1094859,11.5905762,-0.799,0.353
10.9951198,10.8215332,-0.556,0.378
12.8439375,7.6135254,-0.532,0.418
11.5123222,4.6032715,-0.614,0.351
7.2643942,3.2409668,-0.139,0.393
7.7001044,5.3063965,0.490,0.496
8.9827489,6.8884277,-0.390,0.386
8.2875987,5.0427246,0.000,0.426
4.8611009,7.5036621,-0.066,0.387
8.6136097,2.9772949,-0.833,0.335
11.1891794,9.6350098,-0.400,0.362
8.2875987,7.3278809,-0.221,0.395
12.9081979,8.4265137,-0.404,0.371
12.7796606,5.6359863,-0.605,0.384
12.6939327,4.5812988,-0.262,0.358
11.1676236,6.1193848,-0.379,0.385
11.8996033,3.6804199,-0.483,0.364
11.2969342,9.2395020,-0.377,0.360
10.1743738,10.7556152,-0.372,0.360
11.8781020,10.1843262,-0.548,0.364
10.5418209,7.8332520,-0.269,0.380
7.5694372,6.5588379,-0.367,0.403
7.5040887,9.5471191,-0.442,0.378
9.8065034,11.1071777,-0.214,0.385
12.8010881,5.9655762,-0.717,0.368
8.8959258,7.2839355,0.008,0.453
9.7415422,7.9870605,-0.207,0.361
9.4165483,8.7561035,-0.081,0.380
8.1136149,2.9772949,-0.510,0.339
11.0382553,13.5021973,-0.304,0.321
4.5326183,7.3278809,-0.374,0.409
