latitude,longitude,rwi,error
2.0540032,34.0686035,-0.305,0.326
2.4711573,31.3439941,0.129,0.398
1.7685179,33.6730957,-0.566,0.333
0.4284628,31.6955566,-0.277,0.350
-0.3186019,31.2561035,-0.241,0.339
1.0216743,34.1564941,-0.366,0.366
1.1974226,31.7175293,0.199,0.365
0.5822654,33.6730957,-0.117,0.329
3.7217452,32.8161621,-0.498,0.354
2.7784514,33.4313965,-0.439,0.337
-1.1315182,29.6520996,-0.279,0.311
0.2307123,31.0363770,-0.387,0.331
0.6042368,31.7175293,-0.102,0.359
1.6147764,33.5632324,-0.487,0.335
0.7580345,31.6955566,-0.658,0.347
2.6028640,33.5852051,-0.440,0.344
0.5163504,31.9372559,0.158,0.371
3.1295462,30.9045410,-0.354,0.349
-1.0875811,30.3112793,-0.353,0.334
-0.4064907,32.3986816,-0.416,0.348
1.5269188,31.6955566,-0.464,0.350
0.5822654,33.1018066,-0.124,0.376
3.3927908,34.2224121,-0.363,0.342
-0.4724067,30.8605957,-0.242,0.358
2.1418349,34.1564941,-0.429,0.344
0.5163504,30.5749512,-0.600,0.329
0.2307123,30.9265137,-0.462,0.343
-0.7360637,29.7839355,-0.335,0.330
1.9661667,33.4094238,-0.326,0.334
0.1647947,31.1682129,-0.422,0.326
-0.3405742,30.8605957,-0.718,0.339
2.4052990,31.3659668,-0.953,0.346
1.5488836,34.7497559,-0.582,0.324
1.4170918,32.4426270,0.096,0.352
2.0540032,34.0026855,-0.433,0.327
3.3269861,32.9040527,0.575,0.463
1.1315182,31.3220215,-0.127,0.362
1.1534865,31.8273926,-0.681,0.342
3.0856655,32.9699707,-0.401,0.345
0.7800052,30.2673340,-0.303,0.357
2.1198775,33.4973145,-0.046,0.345
2.9540126,31.7395020,-0.351,0.349
0.0329590,31.6516113,-0.512,0.363
1.9002862,34.4421387,-0.289,0.331
0.7140928,31.8493652,-0.369,0.342
1.8783255,33.9587402,-0.232,0.329
2.8442900,33.1237793,-0.249,0.343
0.6921218,32.5085449,0.093,0.419
0.5163504,31.3000488,-0.464,0.365
-0.2087398,30.4650879,-0.388,0.346
-0.2526847,30.8166504,0.147,0.324
0.2307123,33.4973145,0.081,0.359
0.5163504,33.1457520,0.363,0.412
-0.5163504,30.7287598,0.558,0.454
0.4504348,31.9372559,-0.488,0.349
2.8003980,30.9704590,-0.111,0.332
0.4064907,30.6408691,-0.373,0.334
0.8898568,33.0798340,-0.103,0.368
1.3731595,32.4865723,0.066,0.384
2.2735730,32.3986816,-0.047,0.351
-0.9557662,30.9045410,-0.643,0.348
2.5370123,34.5739746,-0.464,0.331
0.4504348,32.4426270,0.051,0.399
0.4724067,30.9265137,-0.059,0.352
0.2746571,33.1237793,-0.402,0.387
1.9002862,32.0910645,-0.122,0.388
0.6481795,31.3879395,-0.357,0.355
-0.8678867,31.4538574,0.198,0.353
2.4272521,34.7937012,-0.688,0.329
0.7360637,31.1682129,-0.195,0.333
2.2735730,33.4094238,-0.400,0.333
0.5383221,33.6511230,-0.312,0.337
0.1428221,30.9045410,-0.205,0.341
2.4931093,32.3986816,-0.189,0.351
0.1867672,32.2888184,0.327,0.414
2.3613917,32.6403809,-0.583,0.345
-0.4724067,30.4870605,-0.081,0.342
0.7580345,31.2561035,-0.202,0.334
3.5463174,31.5856934,-0.335,0.338
0.6481795,32.9040527,-0.268,0.393
2.8881803,32.2229004,0.062,0.348
-0.9118267,30.0915527,-0.045,0.338
1.9442068,33.1237793,-0.218,0.403
-0.7580345,31.3659668,0.461,0.331
-0.8898568,30.8166504,-0.403,0.343
2.6028640,32.7941895,-0.347,0.345
2.6028640,32.6843262,-0.559,0.344
1.1315182,30.7727051,-0.214,0.333
1.1534865,32.5744629,-0.434,0.335
1.5488836,32.6184082,-0.372,0.351
-0.7800052,31.5856934,-0.183,0.329
3.1514858,33.4313965,-0.345,0.358
1.5269188,33.4094238,-0.263,0.347
0.6262082,33.7170410,-0.154,0.367
2.0540032,32.6184082,-0.241,0.340
0.3405742,30.4870605,-0.351,0.363
3.3050503,33.1677246,-0.178,0.357
2.8223442,31.1462402,-0.431,0.352
2.1637921,32.4645996,-0.662,0.345
3.5901776,30.9484863,-0.456,0.337
0.2526847,32.7722168,0.076,0.359
0.0549316,32.2009277,-0.736,0.364
2.4711573,31.4318848,-0.592,0.371
