latitude,longitude,rwi,error
-30.0786009,30.7067871,-0.240,0.519
-31.9987589,29.1467285,-0.131,0.518
-26.9318647,26.7517090,0.575,0.604
-31.7748771,29.0148926,-0.082,0.492
-26.3623416,27.8063965,-0.295,0.588
-27.6348734,24.8620605,-0.207,0.500
-25.8888782,26.6418457,-0.579,0.489
-25.3340963,28.2019043,-0.331,0.573
-26.9318647,26.0266113,-0.524,0.469
-31.7001291,28.0700684,-0.332,0.467
-30.2685558,28.6193848,-0.205,0.450
-27.8876388,31.5417480,-0.162,0.562
-28.9120143,31.7614746,-0.430,0.591
-26.2441559,28.3337402,0.841,0.627
-27.2839252,25.8288574,-0.575,0.585
-33.8247931,18.7536621,0.603,0.560
-22.8875618,30.0036621,0.222,0.595
-29.2768159,31.4318848,0.239,0.585
-31.4567820,28.3776855,-0.500,0.431
-32.9625860,18.6657715,0.009,0.516
-29.1425657,25.4113770,-0.240,0.510
-26.9122734,23.6975098,-0.395,0.482
-26.4213893,28.4875488,0.474,0.601
-34.0071346,18.5339355,0.969,0.573
-30.7607184,29.5422363,-0.162,0.491
-25.7504244,30.6188965,0.456,0.601
-30.9681888,28.5974121,-0.140,0.435
-33.8795365,25.0378418,0.149,0.571
-31.5129954,28.4875488,-0.149,0.515
-32.6116159,25.7629395,-0.042,0.526
-27.7516073,31.3659668,-0.482,0.439
-32.3706824,28.0041504,0.199,0.520
-28.0622856,31.8273926,-0.059,0.484
-24.3771204,29.3225098,0.276,0.559
-29.8882805,30.3112793,0.163,0.541
-24.7368531,29.9816895,-0.056,0.541
-29.0081399,31.2341309,-0.513,0.483
-25.5721751,30.6408691,0.164,0.569
-32.3521223,28.5095215,-0.187,0.473
-27.7321603,30.8605957,0.065,0.499
-31.4942613,29.1687012,-0.344,0.474
-29.4682962,30.9045410,-0.646,0.516
-27.8487900,31.1022949,-0.115,0.441
-22.9078031,30.4650879,-0.007,0.585
-25.2347581,29.9157715,-0.508,0.478
-27.9070579,32.3547363,0.155,0.526
-34.0617609,22.1813965,0.881,0.556
-28.8157994,30.2893066,-1.245,0.472
-24.7368531,31.3220215,-0.340,0.530
-25.9284066,27.9821777,0.774,0.566
-25.5523532,28.2897949,0.612,0.538
-25.0955481,28.3337402,-0.347,0.586
-27.6737985,29.5422363,-0.047,0.550
-33.4955973,21.3684082,-0.096,0.517
-32.7225981,26.6638184,-0.423,0.453
-30.6095493,30.1135254,-0.092,0.472
-25.4531946,27.2790527,-0.327,0.613
-31.4005349,27.0373535,-0.373,0.567
-27.8099273,25.2575684,-0.533,0.517
-28.2366490,32.0690918,-0.294,0.461
-25.2148807,29.2126465,-0.200,0.552
-28.9120143,27.5866699,0.930,0.551
-28.8542961,31.3000488,-0.044,0.499
-25.4333530,27.0812988,0.406,0.633
-24.6370310,30.8166504,0.067,0.498
-28.6616708,28.8610840,0.127,0.441
-29.5830112,30.9924316,0.260,0.585
-23.1100489,29.0368652,-0.391,0.571
-31.8122286,27.5427246,-0.467,0.450
-25.7108365,27.3010254,0.605,0.605
-26.8338741,27.3889160,-0.601,0.522
-23.1908622,30.4211426,-0.517,0.525
-28.6423887,29.2785645,-0.638,0.645
-28.4300525,32.0690918,-0.635,0.485
-32.8334424,18.4240723,0.259,0.553
-31.6440285,28.5095215,-0.451,0.468
-28.4686909,32.0910645,-0.712,0.504
-28.2947070,23.3020020,-0.228,0.543
-25.6712354,27.3229980,0.548,0.664
-28.7580278,31.4538574,-0.618,0.478
-28.3140526,30.5529785,-0.163,0.476
-31.8682273,28.8610840,-0.287,0.462
-34.1163520,18.4240723,-0.362,0.606
-32.7595615,28.0920410,0.008,0.598
-27.9652945,31.3659668,0.445,0.515
-28.8157994,31.0803223,-0.315,0.480
-34.3887788,20.8630371,0.232,0.565
-31.1376028,26.8176270,0.040,0.549
-30.6851635,30.1794434,-0.325,0.553
-26.0469124,23.6975098,-0.801,0.447
-23.7953972,29.4543457,0.023,0.571
-33.9706975,22.8625488,-0.228,0.541
-34.1345412,20.0061035,-0.469,0.487
-25.0557447,28.9270020,-0.088,0.610
-27.3229745,32.2888184,-0.691,0.423
-24.7168951,27.3889160,-0.119,0.547
-28.2753578,29.6740723,0.127,0.447
-31.5317257,28.3557129,-0.367,0.444
-28.7387635,30.6848145,-0.142,0.463
-25.0557447,26.9494629,-0.243,0.566
-26.0074237,30.8386230,-0.084,0.467
-34.0435560,23.1042480,0.896,0.599
-31.8122286,26.9934082,-0.340,0.477
-25.9679218,29.3225098,0.121,0.580
-31.1376028,30.1135254,-0.581,0.454
-27.9846997,32.0910645,-0.495,0.453
-31.8308986,28.6193848,-0.290,0.515
-23.1504616,30.4431152,0.072,0.555
-31.3254862,29.4543457,-0.303,0.523
-24.4371475,27.1472168,-0.717,0.478
-26.5983508,27.9382324,-0.285,0.562
-32.3706824,28.6853027,0.229,0.481
-25.4531946,26.2902832,-0.470,0.501
-30.0976128,29.6081543,0.228,0.515
-33.9889180,18.7976074,0.272,0.562
-27.3815228,29.8937988,0.350,0.569
-33.2386870,27.4987793,-0.412,0.467
-32.0360196,28.6853027,-0.489,0.499
-34.0799618,18.8415527,1.325,0.546
-31.7748771,28.8171387,-0.372,0.468
-29.6975960,30.3771973,0.412,0.559
-26.4607376,28.4216309,0.238,0.586
-23.9360545,30.2453613,0.153,0.600
-31.9241921,28.0480957,-0.572,0.447
-33.9524731,20.1379395,-0.112,0.538
-28.7194957,30.9704590,-0.156,0.494
-25.6118091,31.6735840,0.260,0.517
-32.8149779,26.7297363,-0.205,0.527
-30.6284584,29.0588379,0.161,0.506
-26.9318647,32.3327637,-0.269,0.450
-23.6143282,30.3552246,-0.013,0.580
-31.4942613,28.9270020,-0.229,0.468
-31.2879394,29.5642090,0.067,0.531
-32.9994495,27.8063965,1.029,0.604
-27.2839252,32.1130371,-0.447,0.505
-26.4213893,23.1042480,-0.303,0.461
-32.8334424,19.0612793,-0.629,0.458
-27.4400400,30.5969238,-0.692,0.426
-29.3151407,29.6960449,-0.090,0.504
-30.7607184,26.4221191,-0.267,0.477
-31.9428395,27.3889160,-0.723,0.451
-28.0428943,30.3771973,-0.511,0.530
-31.6627324,28.9929199,-0.515,0.565
-27.7127098,24.6643066,-0.130,0.509
-31.9055410,25.5212402,-0.227,0.505
-32.6301225,25.7849121,-0.600,0.475
-31.9241921,27.9602051,-0.309,0.440
-28.7194957,24.7302246,1.258,0.603
-32.0918821,28.9489746,-0.438,0.500
-34.0799618,24.3786621,-0.300,0.509
-25.9284066,24.6643066,0.006,0.579
-28.7387635,30.7507324,-0.657,0.448
-22.6038685,30.4431152,-0.308,0.513
-28.8350495,30.3552246,-0.360,0.454
-33.3488843,18.7536621,0.171,0.543
-26.4410651,27.6525879,-0.316,0.557
-29.7166808,17.6110840,-0.758,0.429
-28.4493734,28.0700684,-0.183,0.456
-33.1835362,27.2790527,-0.559,0.566
-29.8120503,30.4650879,0.159,0.558
-26.9514527,30.4650879,0.065,0.499
-27.3034516,25.4553223,-0.296,0.521
-28.9504752,31.3220215,-0.498,0.489
-31.9801229,27.8503418,-0.097,0.602
-28.9120143,31.4538574,0.186,0.559
-27.4400400,32.3107910,-0.427,0.440
-27.7321603,30.9045410,-0.632,0.466
-30.6473638,28.3557129,0.173,0.458
-27.9458858,27.5427246,0.762,0.617
-29.0081399,31.2780762,-0.291,0.481
-23.5539161,30.5090332,-0.299,0.523
-28.0234996,31.8933105,-0.795,0.444
-27.5569815,32.1569824,-0.405,0.442
-29.0273543,26.1584473,-0.408,0.579
-25.5126996,29.0808105,-0.500,0.546
-24.5970797,30.1354980,-0.263,0.559
-33.1835362,19.3469238,-0.068,0.536
-29.4682962,30.1794434,0.435,0.541
-30.4013061,29.9157715,-0.106,0.526
-24.1968685,30.0476074,-0.656,0.479
-30.5528000,30.2014160,-0.794,0.468
-28.4107280,30.9265137,-0.154,0.464
-31.0623449,29.7619629,-0.350,0.466
-27.8682161,31.9812012,-0.824,0.450
-27.0493412,32.5305176,-0.705,0.472
-32.4448845,28.1799316,-0.471,0.471
-26.9710372,30.3771973,-0.337,0.485
-29.6212207,30.5749512,0.226,0.577
-26.8730805,30.8825684,0.116,0.682
-26.2835645,25.2795410,-0.213,0.546
-30.1546268,30.7507324,-0.140,0.532
-29.4300290,30.3552246,0.109,0.535
-23.7953972,29.6301270,0.279,0.548
-30.7418353,29.3664551,-0.543,0.536
-24.9760991,27.8503418,0.192,0.560
-25.7504244,24.4226074,-0.484,0.461
-27.9652945,31.4978027,0.173,0.592
-30.8550788,30.2233887,-0.258,0.501
-31.5129954,28.1359863,-0.646,0.436
-29.9263737,30.8825684,0.957,0.578
-31.7188218,28.9709473,-0.134,0.504
-32.0360196,28.5534668,-0.390,0.453
-29.2768159,31.2780762,-0.319,0.514
-34.0435560,24.7961426,1.093,0.571
-27.0689087,32.4865723,-0.840,0.560
-27.6932559,24.6643066,-0.415,0.555
-24.3971326,29.6301270,0.003,0.562
-25.5126996,28.0480957,1.587,0.593
-31.8682273,28.7292480,-0.098,0.537
-32.3335585,27.9602051,-0.417,0.466
-23.1706634,30.3112793,-0.422,0.557
-30.1926178,28.8610840,-0.856,0.427
-28.8350495,30.9265137,-0.497,0.483
-25.1950000,29.0368652,0.219,0.587
-26.8534790,26.7077637,0.731,0.637
-25.8691090,27.1472168,0.079,0.531
-29.1425657,30.7727051,0.203,0.546
-29.2193016,26.7297363,0.517,0.604
-32.2592650,28.0261230,-0.250,0.592
-30.3254708,29.2565918,0.100,0.437
-27.1080334,29.9816895,0.205,0.521
-33.5505507,18.5339355,-0.661,0.579
-30.3633958,28.4655762,-0.261,0.427
-28.5266220,31.6516113,-0.761,0.467
-27.1471444,30.8605957,-0.589,0.478
-27.9070579,31.8933105,-0.716,0.432
-33.8430448,20.2038574,-0.585,0.523
-29.5065490,30.6188965,-0.357,0.519
-25.1751161,29.1906738,-0.134,0.503
-29.4874244,31.0144043,-0.381,0.528
-28.8927784,27.6965332,-0.295,0.489
-33.6054691,18.9514160,0.233,0.522
-32.0173911,28.4216309,0.125,0.457
-29.1809408,26.1584473,-0.036,0.530
-24.5171391,30.3771973,-0.453,0.484
-28.9504752,29.2785645,-0.433,0.462
-25.5126996,31.7614746,-0.520,0.464
-23.6143282,30.2673340,-0.294,0.517
-25.4730329,31.8713379,-0.735,0.535
-26.4804067,27.9821777,0.138,0.593
-28.2753578,32.1789551,0.060,0.452
-33.0178755,27.2790527,-0.404,0.493
-33.9889180,25.4772949,0.703,0.571
-27.2448621,32.5085449,-0.524,0.453
-28.7580278,32.1350098,0.528,0.598
-25.0358382,30.8825684,-0.505,0.501
-28.6809493,30.0915527,-0.549,0.566
-32.6486253,27.1472168,-0.728,0.485
-31.6253207,29.3225098,-0.201,0.509
-33.5871669,18.5778809,-0.332,0.559
-29.2001230,31.1022949,-0.431,0.501
-25.6316212,28.9270020,-0.394,0.564
-28.3333947,31.4099121,0.961,0.617
-32.2406821,28.8171387,0.092,0.492
-25.4730329,28.0920410,0.881,0.595
-27.3620101,30.5969238,-0.622,0.462
-25.3539542,27.7185059,-0.443,0.493
-23.9962894,29.3225098,0.025,0.525
-27.9846997,26.7956543,0.141,0.550
-29.1041762,26.7956543,-0.501,0.481
-28.2366490,30.5749512,0.013,0.528
-33.1099478,19.3469238,0.285,0.562
-28.3140526,31.2341309,0.049,0.511
-27.9846997,31.3659668,0.307,0.540
-32.3892386,28.0920410,-0.680,0.508
-26.9906183,30.8166504,0.129,0.552
-29.3534512,31.1682129,-0.658,0.522
-31.5317257,28.7512207,0.188,0.556
-32.5560732,26.7956543,-1.005,0.438
-25.6712354,26.6857910,0.573,0.555
-31.0999813,29.0588379,-0.347,0.477
-28.1591892,30.5749512,0.228,0.476
-31.9614831,28.2897949,-0.152,0.525
-23.6344594,29.0808105,0.936,0.572
-28.0816733,30.6408691,-0.082,0.523
-33.4772717,21.2145996,-0.607,0.560
-26.6769127,28.5754395,0.172,0.591
-28.0428943,30.6408691,-0.214,0.531
-24.2970401,29.8937988,0.145,0.580
-25.1950000,29.1027832,0.158,0.552
-27.6348734,32.1130371,-0.475,0.427
-29.4108899,24.7521973,0.044,0.549
-26.3032638,28.0920410,1.006,0.566
-28.8542961,31.1682129,-0.507,0.484
-31.4942613,29.2346191,-0.321,0.566
-29.3534512,30.9924316,-0.464,0.510
-30.7418353,29.1687012,-0.144,0.437
-23.7350688,29.3444824,0.680,0.573
-31.5691750,28.6853027,0.839,0.515
-31.5129954,28.8610840,0.257,0.543
-22.8268200,30.5090332,0.171,0.621
-27.2448621,30.6848145,-0.075,0.446
-28.5845213,32.0251465,0.259,0.587
-28.8735390,29.2785645,-0.251,0.445
-29.0849761,31.1682129,-0.672,0.430
-29.1041762,29.6740723,0.340,0.580
-33.9342448,18.5339355,1.554,0.560
-31.1376028,29.2785645,-1.071,0.463
-33.3488843,18.8195801,-0.530,0.495
-29.2384766,30.9704590,-0.408,0.478
-28.8350495,30.1354980,-0.510,0.492
-31.7935547,28.3557129,-0.576,0.490
-27.3034516,31.0144043,-0.401,0.448
-24.7568079,30.4211426,-0.353,0.467
-27.3620101,29.8718262,1.025,0.534
-26.2441559,27.3010254,0.207,0.517
-23.8356006,28.6193848,-0.670,0.566
-31.8495649,27.8723145,-0.494,0.490
-27.3620101,25.9826660,-0.387,0.506
-22.6849838,30.4211426,-0.656,0.450
-26.2244465,28.1579590,1.250,0.588
-28.8735390,30.8825684,-0.262,0.529
-22.6444321,30.5090332,-0.339,0.488
-28.2560052,30.6188965,0.028,0.462
-28.1010575,31.8933105,-0.732,0.452
-24.6969338,29.5861816,-0.393,0.668
-32.2220954,28.2678223,-0.674,0.472
-29.5065490,31.1022949,-0.440,0.546
-26.5787018,29.0588379,-0.207,0.547
-31.3630180,28.7292480,-0.153,0.477
-30.8927970,29.1687012,-0.872,0.471
-27.7516073,30.0695801,1.009,0.615
-24.6370310,31.3879395,-0.377,0.516
-27.4205377,23.4997559,-0.028,0.570
-32.2220954,28.3557129,-0.557,0.474
-26.5787018,25.7409668,-0.378,0.499
-26.6376385,28.5974121,0.069,0.564
-27.1471444,23.3898926,-0.806,0.495
-30.7229484,30.3771973,1.167,0.607
-31.9801229,27.0812988,-0.480,0.472
-33.8247931,25.6311035,0.920,0.636
-32.0546442,28.3557129,-0.400,0.496
-27.7321603,31.5197754,-0.782,0.535
-28.7194957,30.7507324,-0.410,0.478
-27.3620101,32.4426270,-0.741,0.429
-33.9342448,19.6325684,-0.458,0.524
-24.9760991,29.5422363,-0.177,0.507
-27.0101960,24.0051270,-0.579,0.499
-33.4039307,18.6877441,0.454,0.497
-29.2576481,30.1135254,-0.319,0.468
-31.0623449,29.7399902,-0.619,0.469
-26.2441559,27.5866699,-0.136,0.574
-27.2839252,30.9924316,-0.525,0.443
-22.8470703,29.6301270,-0.162,0.544
