Rank,Region,HDI,Country,
High Human Development (≥ 0.7),High Human Development (≥ 0.7),High Human Development (≥ 0.7),High Human Development (≥ 0.7),High Human Development (≥ 0.7)
1,Nairobi,0.771,,NA
Medium Human Development (≥ 0.55),Medium Human Development (≥ 0.55),Medium Human Development (≥ 0.55),Medium Human Development (≥ 0.55),Medium Human Development (≥ 0.55)
2,Mombasa,0.698,,NA
3,Nyeri,0.678,,NA
4,Zanzibar City,0.678,,NA
5,Kiambu,0.663,,NA
6,Uasin Gishu,0.654,,NA
7,Dar es Salaam,0.653,,NA
8,Embu,0.650,,NA
9,Kirinyaga,0.646,,NA
10,Kigali,0.644,,NA
11,Nakuru,0.641,,NA
12,Kilimanjaro,0.640,,NA
13,South Zanzibar,0.639,,NA
14,Nyandarua,0.637,,NA
15,Laikipia,0.635,,NA
16,Machakos,0.633,,NA
17,Meru,0.632,,NA
18,Taita Taveta,0.630,,NA
19,Nandi,0.627,,NA
20,Tharaka Nithi,0.626,,NA
21,Murang’a,0.625,,NA
22,Kisumu,0.621,,NA
23,Elgeyo Marakwet,0.620,,NA
24,Trans Nzoia,0.620,,NA
25,Lamu,0.620,,NA
26,Kericho,0.619,,NA
27,Bungoma,0.618,,NA
28,Nyamira,0.616,,NA
29,Bomet,0.613,,NA
30,Kisii,0.613,,NA
31,Baringo,0.609,,NA
32,Kajiado,0.609,,NA
33,Kakamega,0.606,,NA
34,South Pemba,0.603,,NA
35,Kitui,0.602,,NA
36,Vihiga,0.602,,NA
37,Makueni,0.595,,NA
38,Busia,0.594,,NA
39,North Zanzibar,0.584,,NA
40,Siaya,0.583,,NA
41,Kinshasa,0.582,,NA
42,Narok,0.578,,NA
43,Iringa,0.577,,NA
44,Njombe,0.577,,NA
45,Kilifi,0.574,,NA
46,Homa Bay,0.573,,NA
47,Kwale,0.573,,NA
48,Tanga,0.569,,NA
49,Arusha,0.568,,NA
50,Manyara,0.568,,NA
51,Migori,0.567,,NA
52,Ruvuma,0.555,,NA
53,Isiolo,0.554,,NA
Low Human Development (< 0.55),Low Human Development (< 0.55),Low Human Development (< 0.55),Low Human Development (< 0.55),Low Human Development (< 0.55)
55,North Pemba,0.548,,NA
56,Morogoro,0.546,,NA
57,Mbeya,0.543,,NA
58,Mara,0.541,,NA
59,Eastern Province,0.540,,NA
60,Western Province,0.535,,NA
61,West Pokot,0.534,,NA
62,Southern Province,0.526,,NA
63,Northern Province,0.525,,NA
64,Pwani,0.525,,NA
65,Geita,0.523,,NA
66,Mwanza,0.523,,NA
67,Marsabit,0.522,,NA
68,Kagera,0.521,,NA
69,Kigoma,0.520,,NA
70,Samburu,0.509,,NA
71,Lindi,0.509,,NA
72,Shinyanga,0.508,,NA
73,Simiyu,0.508,,NA
74,Mtwara,0.507,,NA
75,North Kivu,0.504,,NA
76,Tana River,0.497,,NA
77,Dodoma,0.497,,NA
78,Garissa,0.494,,NA
79,South Kivu,0.492,,NA
80,Turkana,0.492,,NA
81,Wajir,0.491,,NA
82,Mandera,0.484,,NA
83,Katavi,0.483,,NA
84,Rukwa,0.483,,NA
85,Tabora,0.482,,NA
86,Bas-Congo,0.481,,NA
87,West Region,0.469,,NA
88,Orientale,0.468,,NA
89,Katanga,0.467,,NA
90,Banadir,0.459,,NA
91,Central Equatoria,0.459,,NA
92,Bandundu,0.458,,NA
93,Equateur,0.456,,NA
94,South Region,0.452,,NA
95,Kasai Oriental,0.449,,NA
96,Maniema,0.430,,NA
97,Northern Bahr el Ghazal,0.426,,NA
98,Middle Region,0.422,,NA
99,Upper Nile,0.422,,NA
100,Somaliland,0.417,,NA
101,Western Bahr el Ghazal,0.412,,NA
102,Puntland,0.404,,NA
103,East Region,0.403,,NA
104,Kasai-Occidental,0.403,,NA
105,North Region,0.372,,NA
106,Eastern Equatoria,0.367,,NA
107,Lakes,0.344,,NA
108,Unity,0.340,,NA
109,Ruweng,0.340,,NA
110,Jonglei,0.331,,NA
111,Pibor,0.331,,NA
112,Galmudug,0.327,,NA
113,Warrap,0.308,,NA
114,Western Equatoria,0.306,,NA
115,Southwest,0.304,,NA
116,Hirshabelle,0.303,,NA
117,Jubaland,0.287,,NA
