Entity,Code,Year,"Northern White Rhino population (AfRSG & other sources, 2019)"
Democratic Republic of Congo,COD,1960,1150
Democratic Republic of Congo,COD,1971,250
Democratic Republic of Congo,COD,1976,490
Democratic Republic of Congo,COD,1981,50
Democratic Republic of Congo,COD,1983,20
Democratic Republic of Congo,COD,1984,15
Democratic Republic of Congo,COD,1991,30
Democratic Republic of Congo,COD,1995,31
Democratic Republic of Congo,COD,1997,25
Democratic Republic of Congo,COD,1998,25
Democratic Republic of Congo,COD,2005,4
Democratic Republic of Congo,COD,2007,4
Kenya,KEN,2010,4
Kenya,KEN,2015,3
Kenya,KEN,2017,3
Kenya,KEN,2018,2
Kenya,KEN,2019,2
Kenya,KEN,2020,2
Kenya,KEN,2021,2
Sudan,SDN,1960,1000
Sudan,SDN,1971,400
Sudan,SDN,1981,300
Sudan,SDN,1983,50
Sudan,SDN,1984,0
Sudan,SDN,1991,0
Sudan,SDN,1995,0
Sudan,SDN,1998,0
Uganda,UGA,1960,80
Uganda,UGA,1971,2
Uganda,UGA,1976,2
Uganda,UGA,1981,2
Uganda,UGA,1983,2
Uganda,UGA,1984,0
Uganda,UGA,1991,0
Uganda,UGA,1995,0
Uganda,UGA,1998,0
World,OWID_WRL,1960,2230
World,OWID_WRL,1971,650
World,OWID_WRL,1976,500
World,OWID_WRL,1981,350
World,OWID_WRL,1983,70
World,OWID_WRL,1984,15
World,OWID_WRL,1991,30
World,OWID_WRL,1995,31
World,OWID_WRL,1997,25
World,OWID_WRL,2005,4
World,OWID_WRL,2007,4
World,OWID_WRL,2010,4
World,OWID_WRL,2012,4
World,OWID_WRL,2015,3
World,OWID_WRL,2017,3
World,OWID_WRL,2018,2
World,OWID_WRL,2021,2
