"Entity","Code","Year","apples__00000515__production__005510__tonnes"
"Afghanistan","AFG",1961,15100
"Afghanistan","AFG",1962,15100
"Afghanistan","AFG",1963,15100
"Afghanistan","AFG",1964,18400
"Afghanistan","AFG",1965,20400
"Afghanistan","AFG",1966,22800
"Afghanistan","AFG",1967,27600
"Afghanistan","AFG",1968,27900
"Afghanistan","AFG",1969,28200
"Afghanistan","AFG",1970,27300
"Afghanistan","AFG",1971,21500
"Afghanistan","AFG",1972,26600
"Afghanistan","AFG",1973,27600
"Afghanistan","AFG",1974,27800
"Afghanistan","AFG",1975,27900
"Afghanistan","AFG",1976,26200
"Afghanistan","AFG",1977,15500
"Afghanistan","AFG",1978,22700
"Afghanistan","AFG",1979,21600
"Afghanistan","AFG",1980,22300
"Afghanistan","AFG",1981,22100
"Afghanistan","AFG",1982,21400
"Afghanistan","AFG",1983,20800
"Afghanistan","AFG",1984,20000
"Afghanistan","AFG",1985,19100
"Afghanistan","AFG",1986,19400
"Afghanistan","AFG",1987,16600
"Afghanistan","AFG",1988,16900
"Afghanistan","AFG",1989,16900
"Afghanistan","AFG",1990,16867
"Afghanistan","AFG",1991,17507.39
"Afghanistan","AFG",1992,17200
"Afghanistan","AFG",1993,17000
"Afghanistan","AFG",1994,17500
"Afghanistan","AFG",1995,19668.68
"Afghanistan","AFG",1996,23340.58
"Afghanistan","AFG",1997,27727.09
"Afghanistan","AFG",1998,32386.33
"Afghanistan","AFG",1999,35928.15
"Afghanistan","AFG",2000,40540.06
"Afghanistan","AFG",2001,39541.74
"Afghanistan","AFG",2002,35630.08
"Afghanistan","AFG",2003,28042.99
"Afghanistan","AFG",2004,16691.83
"Afghanistan","AFG",2005,20239.34
"Afghanistan","AFG",2006,52500
"Afghanistan","AFG",2007,59500
"Afghanistan","AFG",2008,56060.69
"Afghanistan","AFG",2009,72765
"Afghanistan","AFG",2010,59850
"Afghanistan","AFG",2011,62041
"Afghanistan","AFG",2012,70000
"Afghanistan","AFG",2013,78597
"Afghanistan","AFG",2014,89403
"Afghanistan","AFG",2015,89733
"Afghanistan","AFG",2016,140903
"Afghanistan","AFG",2017,170443
"Afghanistan","AFG",2018,217192
"Afghanistan","AFG",2019,250324
"Afghanistan","AFG",2020,270857
"Afghanistan","AFG",2021,321672
"Afghanistan","AFG",2022,318402
"Afghanistan","AFG",2023,324000
"Africa",NA,1961,136344
"Africa",NA,1962,142131
"Africa",NA,1963,157140
"Africa",NA,1964,201048
"Africa",NA,1965,192905
"Africa",NA,1966,242928
"Africa",NA,1967,232394
"Africa",NA,1968,255997
"Africa",NA,1969,253182
"Africa",NA,1970,267213
"Africa",NA,1971,297881
"Africa",NA,1972,372367
"Africa",NA,1973,341305
"Africa",NA,1974,347231
"Africa",NA,1975,429760
"Africa",NA,1976,447100
"Africa",NA,1977,369964
"Africa",NA,1978,485503
"Africa",NA,1979,480595
"Africa",NA,1980,558313
"Africa",NA,1981,556674
"Africa",NA,1982,644857
"Africa",NA,1983,547571
"Africa",NA,1984,690611
"Africa",NA,1985,640231
"Africa",NA,1986,690103
"Africa",NA,1987,673928
"Africa",NA,1988,926263
"Africa",NA,1989,961548
"Africa",NA,1990,815229
"Africa",NA,1991,940965
"Africa",NA,1992,1206286
"Africa",NA,1993,1535265
"Africa",NA,1994,1276832
"Africa",NA,1995,1433127
"Africa",NA,1996,1582098
"Africa",NA,1997,1526274
"Africa",NA,1998,1456860
"Africa",NA,1999,1571667.4
"Africa",NA,2000,1592896.8
"Africa",NA,2001,1548621.6
"Africa",NA,2002,1775408
"Africa",NA,2003,1894478
"Africa",NA,2004,2042013
"Africa",NA,2005,1901266.6
"Africa",NA,2006,2017897.2
"Africa",NA,2007,2020000.1
"Africa",NA,2008,2139363.5
"Africa",NA,2009,2160138.2
"Africa",NA,2010,2202049.5
"Africa",NA,2011,2314663.2
"Africa",NA,2012,2364630
"Africa",NA,2013,2725186
"Africa",NA,2014,2554818.2
"Africa",NA,2015,2875545
"Africa",NA,2016,2737229.5
"Africa",NA,2017,3090062.2
"Africa",NA,2018,2893594
"Africa",NA,2019,3104080.2
"Africa",NA,2020,3279684.8
"Africa",NA,2021,3583761.2
"Africa",NA,2022,3750739.8
"Africa",NA,2023,3685713
"Africa (FAO)",NA,1961,136344
"Africa (FAO)",NA,1962,142131
"Africa (FAO)",NA,1963,157140
"Africa (FAO)",NA,1964,201048
"Africa (FAO)",NA,1965,192905
"Africa (FAO)",NA,1966,242928
"Africa (FAO)",NA,1967,232394
"Africa (FAO)",NA,1968,255997
"Africa (FAO)",NA,1969,253182
"Africa (FAO)",NA,1970,267213
"Africa (FAO)",NA,1971,297881
"Africa (FAO)",NA,1972,372367
"Africa (FAO)",NA,1973,341305
"Africa (FAO)",NA,1974,347231
"Africa (FAO)",NA,1975,429760
"Africa (FAO)",NA,1976,447100
"Africa (FAO)",NA,1977,369964
"Africa (FAO)",NA,1978,485503
"Africa (FAO)",NA,1979,480595
"Africa (FAO)",NA,1980,558313
"Africa (FAO)",NA,1981,556674
