"Entity","Code","Year","barley__00000044__production__005510__tonnes"
"Afghanistan","AFG",1961,378000
"Afghanistan","AFG",1962,378000
"Afghanistan","AFG",1963,378000
"Afghanistan","AFG",1964,380000
"Afghanistan","AFG",1965,380000
"Afghanistan","AFG",1966,375000
"Afghanistan","AFG",1967,357000
"Afghanistan","AFG",1968,361000
"Afghanistan","AFG",1969,365000
"Afghanistan","AFG",1970,370000
"Afghanistan","AFG",1971,355000
"Afghanistan","AFG",1972,350000
"Afghanistan","AFG",1973,360000
"Afghanistan","AFG",1974,380000
"Afghanistan","AFG",1975,384000
"Afghanistan","AFG",1976,4e+05
"Afghanistan","AFG",1977,3e+05
"Afghanistan","AFG",1978,325000
"Afghanistan","AFG",1979,318000
"Afghanistan","AFG",1980,321000
"Afghanistan","AFG",1981,3e+05
"Afghanistan","AFG",1982,276000
"Afghanistan","AFG",1983,266000
"Afghanistan","AFG",1984,254000
"Afghanistan","AFG",1985,240000
"Afghanistan","AFG",1986,231000
"Afghanistan","AFG",1987,231000
"Afghanistan","AFG",1988,235000
"Afghanistan","AFG",1989,231000
"Afghanistan","AFG",1990,216000
"Afghanistan","AFG",1991,217000
"Afghanistan","AFG",1992,2e+05
"Afghanistan","AFG",1993,250000
"Afghanistan","AFG",1994,230000
"Afghanistan","AFG",1995,2e+05
"Afghanistan","AFG",1996,220000
"Afghanistan","AFG",1997,250000
"Afghanistan","AFG",1998,240000
"Afghanistan","AFG",1999,216000
"Afghanistan","AFG",2000,74000
"Afghanistan","AFG",2001,87000
"Afghanistan","AFG",2002,345000
"Afghanistan","AFG",2003,240000
"Afghanistan","AFG",2004,290000
"Afghanistan","AFG",2005,337000
"Afghanistan","AFG",2006,364000
"Afghanistan","AFG",2007,370000
"Afghanistan","AFG",2008,333000
"Afghanistan","AFG",2009,486000
"Afghanistan","AFG",2010,437000
"Afghanistan","AFG",2011,305900
"Afghanistan","AFG",2012,504000
"Afghanistan","AFG",2013,514000
"Afghanistan","AFG",2014,521000
"Afghanistan","AFG",2015,403000
"Afghanistan","AFG",2016,301856
"Afghanistan","AFG",2017,94995
"Afghanistan","AFG",2018,56781
