Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1961","1961","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1962","1962","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1963","1963","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1964","1964","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1965","1965","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1966","1966","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1967","1967","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1968","1968","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1969","1969","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1970","1970","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1971","1971","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1972","1972","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1973","1973","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1974","1974","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1975","1975","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1976","1976","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1977","1977","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1978","1978","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1979","1979","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1980","1980","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1981","1981","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1982","1982","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1983","1983","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1984","1984","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1985","1985","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1986","1986","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1987","1987","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1988","1988","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1989","1989","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1990","1990","t","0","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1991","1991","t","100","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1992","1992","t","83.38","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1993","1993","t","89.96","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1994","1994","t","95.1","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1995","1995","t","101.08","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1996","1996","t","104.01","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1997","1997","t","101.63","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1998","1998","t","104.63","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","1999","1999","t","110","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","2000","2000","t","113.71","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","2001","2001","t","120","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","2002","2002","t","127.71","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","2003","2003","t","130","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","2004","2004","t","150","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","2005","2005","t","170","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","2006","2006","t","200","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","2007","2007","t","243.03","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","2008","2008","t","270.53","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","2009","2009","t","320.67","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01270","Mushrooms and truffles","2010","2010","t","212.74","I","Value 
imputed by a
receiving 
agency",""
