"Entity","Code","Year","wheat__00000015__production__005510__tonnes"
"Afghanistan","AFG",1961,2279000
"Afghanistan","AFG",1962,2279000
"Afghanistan","AFG",1963,1947000
"Afghanistan","AFG",1964,2230000
"Afghanistan","AFG",1965,2282000
"Afghanistan","AFG",1966,2033000
"Afghanistan","AFG",1967,2280000
"Afghanistan","AFG",1968,2354000
"Afghanistan","AFG",1969,2454000
"Afghanistan","AFG",1970,2081000
"Afghanistan","AFG",1971,1915000
"Afghanistan","AFG",1972,2450000
"Afghanistan","AFG",1973,2700000
"Afghanistan","AFG",1974,2750000
"Afghanistan","AFG",1975,2850000
"Afghanistan","AFG",1976,2936000
"Afghanistan","AFG",1977,2652000
"Afghanistan","AFG",1978,2813000
"Afghanistan","AFG",1979,2663000
"Afghanistan","AFG",1980,2550000
"Afghanistan","AFG",1981,2470000
"Afghanistan","AFG",1982,2391000
"Afghanistan","AFG",1983,2306000
"Afghanistan","AFG",1984,2194000
"Afghanistan","AFG",1985,2081000
"Afghanistan","AFG",1986,1925000
"Afghanistan","AFG",1987,2300000
"Afghanistan","AFG",1988,1900000
"Afghanistan","AFG",1989,1800000
"Afghanistan","AFG",1990,1650000
"Afghanistan","AFG",1991,1726000
"Afghanistan","AFG",1992,1650000
"Afghanistan","AFG",1993,1940000
"Afghanistan","AFG",1994,2050000
"Afghanistan","AFG",1995,2100000
"Afghanistan","AFG",1996,2300000
"Afghanistan","AFG",1997,2711000
"Afghanistan","AFG",1998,2834000
"Afghanistan","AFG",1999,2499000
"Afghanistan","AFG",2000,1469000
"Afghanistan","AFG",2001,1597000
"Afghanistan","AFG",2002,2686000
"Afghanistan","AFG",2003,3480000
"Afghanistan","AFG",2004,2390000
"Afghanistan","AFG",2005,4266000
"Afghanistan","AFG",2006,3363000
"Afghanistan","AFG",2007,4484000
"Afghanistan","AFG",2008,2623000
"Afghanistan","AFG",2009,5064000
"Afghanistan","AFG",2010,4532000
"Afghanistan","AFG",2011,3388000
"Afghanistan","AFG",2012,5050000
"Afghanistan","AFG",2013,5169235
"Afghanistan","AFG",2014,5370259
"Afghanistan","AFG",2015,4673040
"Afghanistan","AFG",2016,4555110
"Afghanistan","AFG",2017,4280776
"Afghanistan","AFG",2018,3613300
"Afghanistan","AFG",2019,4890000
"Afghanistan","AFG",2020,5185000
"Afghanistan","AFG",2021,4017657
"Afghanistan","AFG",2022,3802895
"Afghanistan","AFG",2023,4300000
"Africa",NA,1961,5091715
"Africa",NA,1962,6852639
"Africa",NA,1963,7160090
"Africa",NA,1964,6812840
"Africa",NA,1965,6711683
"Africa",NA,1966,5531425
"Africa",NA,1967,6843701
"Africa",NA,1968,8693579
"Africa",NA,1969,7175216
"Africa",NA,1970,7964607
"Africa",NA,1971,8909019
"Africa",NA,1972,9495232
"Africa",NA,1973,8548049
"Africa",NA,1974,8457896
"Africa",NA,1975,9424231
"Africa",NA,1976,10027084
"Africa",NA,1977,7629224
"Africa",NA,1978,8444855
"Africa",NA,1979,8659497
"Africa",NA,1980,8689505
"Africa",NA,1981,8703336
"Africa",NA,1982,10034211
"Africa",NA,1983,8843053
"Africa",NA,1984,9032141
"Africa",NA,1985,10339753
"Africa",NA,1986,11693412
"Africa",NA,1987,12551580
"Africa",NA,1988,13136362
"Africa",NA,1989,12497731
"Africa",NA,1990,13282346
"Africa",NA,1991,16955420
"Africa",NA,1992,12445750
"Africa",NA,1993,12567656
"Africa",NA,1994,14767140
"Africa",NA,1995,12659705
"Africa",NA,1996,21519064
"Africa",NA,1997,14219009
"Africa",NA,1998,18212288
"Africa",NA,1999,15220115
"Africa",NA,2000,14055828
"Africa",NA,2001,17800490
"Africa",NA,2002,16737239
"Africa",NA,2003,21115148
"Africa",NA,2004,21554204
"Africa",NA,2005,20476872
"Africa",NA,2006,23954312
"Africa",NA,2007,18070138
"Africa",NA,2008,19034260
"Africa",NA,2009,25381264
"Africa",NA,2010,20940332
"Africa",NA,2011,25029056
"Africa",NA,2012,24655300
"Africa",NA,2013,28064702
"Africa",NA,2014,25436128
"Africa",NA,2015,29085902
"Africa",NA,2016,23335314
"Africa",NA,2017,26529728
"Africa",NA,2018,29158090
"Africa",NA,2019,26536326
"Africa",NA,2020,25365412
"Africa",NA,2021,30732504
"Africa",NA,2022,26115468
"Africa",NA,2023,26348748
"Africa (FAO)",NA,1961,5118115
"Africa (FAO)",NA,1962,6881139
"Africa (FAO)",NA,1963,7191030
"Africa (FAO)",NA,1964,6849605
"Africa (FAO)",NA,1965,6767691
"Africa (FAO)",NA,1966,5600401
"Africa (FAO)",NA,1967,6922147
"Africa (FAO)",NA,1968,8781114
"Africa (FAO)",NA,1969,7298416
"Africa (FAO)",NA,1970,8079907
"Africa (FAO)",NA,1971,9072019
"Africa (FAO)",NA,1972,9619232
"Africa (FAO)",NA,1973,8700049
"Africa (FAO)",NA,1974,8692896
"Africa (FAO)",NA,1975,9693231
"Africa (FAO)",NA,1976,10290084
"Africa (FAO)",NA,1977,7918224
"Africa (FAO)",NA,1978,8756855
"Africa (FAO)",NA,1979,8824497
"Africa (FAO)",NA,1980,8920505
"Africa (FAO)",NA,1981,8921336
"Africa (FAO)",NA,1982,10176211
"Africa (FAO)",NA,1983,9019053
"Africa (FAO)",NA,1984,9189141
"Africa (FAO)",NA,1985,10418753
"Africa (FAO)",NA,1986,11892412
"Africa (FAO)",NA,1987,12708580
"Africa (FAO)",NA,1988,13317362
"Africa (FAO)",NA,1989,12744731
"Africa (FAO)",NA,1990,13691346
"Africa (FAO)",NA,1991,17641420
"Africa (FAO)",NA,1992,13283750
"Africa (FAO)",NA,1993,13020656
"Africa (FAO)",NA,1994,15242140
"Africa (FAO)",NA,1995,13107705
"Africa (FAO)",NA,1996,22046064
"Africa (FAO)",NA,1997,14861009
"Africa (FAO)",NA,1998,18797288
"Africa (FAO)",NA,1999,15392115
"Africa (FAO)",NA,2000,14269828
"Africa (FAO)",NA,2001,18103490
"Africa (FAO)",NA,2002,16984240
"Africa (FAO)",NA,2003,21447148
"Africa (FAO)",NA,2004,21989204
"Africa (FAO)",NA,2005,20892872
"Africa (FAO)",NA,2006,24623312
"Africa (FAO)",NA,2007,18873138
"Africa (FAO)",NA,2008,19621260
"Africa (FAO)",NA,2009,26022958
"Africa (FAO)",NA,2010,21343332
"Africa (FAO)",NA,2011,25321056
"Africa (FAO)",NA,2012,24655300
"Africa (FAO)",NA,2013,28064702
"Africa (FAO)",NA,2014,25436128
"Africa (FAO)",NA,2015,29085902
"Africa (FAO)",NA,2016,23335314
"Africa (FAO)",NA,2017,26529728
"Africa (FAO)",NA,2018,29158090
"Africa (FAO)",NA,2019,26536326
"Africa (FAO)",NA,2020,25365412
"Africa (FAO)",NA,2021,30732504
"Africa (FAO)",NA,2022,26115468
"Africa (FAO)",NA,2023,26348748
"Albania","ALB",1961,97800
"Albania","ALB",1962,146407
"Albania","ALB",1963,61763
"Albania","ALB",1964,124208
"Albania","ALB",1965,119728
"Albania","ALB",1966,146084
"Albania","ALB",1967,163261
"Albania","ALB",1968,203184
"Albania","ALB",1969,240177
"Albania","ALB",1970,226582
"Albania","ALB",1971,259431
"Albania","ALB",1972,285000
"Albania","ALB",1973,333000
"Albania","ALB",1974,330000
"Albania","ALB",1975,310000
"Albania","ALB",1976,485000
"Albania","ALB",1977,490000
"Albania","ALB",1978,490000
"Albania","ALB",1979,490530
"Albania","ALB",1980,495900
"Albania","ALB",1981,488700
"Albania","ALB",1982,524000
"Albania","ALB",1983,583000
"Albania","ALB",1984,6e+05
"Albania","ALB",1985,603000
"Albania","ALB",1986,576000
"Albania","ALB",1987,593000
"Albania","ALB",1988,637000
"Albania","ALB",1989,613000
"Albania","ALB",1990,613000
"Albania","ALB",1991,297340
"Albania","ALB",1992,251862
"Albania","ALB",1993,464498
"Albania","ALB",1994,420000
"Albania","ALB",1995,405342
"Albania","ALB",1996,271150
"Albania","ALB",1997,388391
"Albania","ALB",1998,395067
"Albania","ALB",1999,272000
"Albania","ALB",2000,341100
