Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Afghanistan,1961,8790140,3695000,0.42035735,420.35735,1.1151,,3313500,0.37695646,3769.5646,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1962,8969055,3696000,0.41208354,412.08354,1.079,,3425500,0.3819243,3819.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1963,9157463,3378000,0.36887947,368.87946999999997,0.98579997,,3426500,0.3741757,3741.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1964,9355510,3732000,0.3989093,398.90930000000003,1.0828,,3446500,0.36839253,3683.9253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1965,9565154,3785000,0.39570716,395.70716,1.0989,,3444500,0.3601092,3601.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1966,9783153,3489000,0.35663348,356.63348,1.0123,,3446500,0.3522893,3522.8930000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1967,10010037,3826000,0.38221636,382.21635999999995,1.2245,,3124500,0.3121367,3121.3669999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1968,10247782,3916000,0.38213146,382.13146,1.2875,,3041500,0.29679593,2967.9593,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1969,10494491,4038000,0.3847733,384.7733,1.3104,,3081500,0.29363024,2936.3024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1970,10752973,3512000,0.32660735,326.60735,1.1050999,,3178000,0.29554617,2955.4617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1971,11015853,3319000,0.30129305,301.29305,0.9762,,3400000,0.30864608,3086.4608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1972,11286753,3950000,0.34996778,349.96778,1.0069,,3923100,0.34758446,3475.8446,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1973,11575308,4270000,0.36888868,368.88868,1.2796,,3337000,0.28828606,2882.8606,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1974,11869881,4351000,0.36655802,366.55802,1.3018999,,3342000,0.28155294,2815.5294,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1975,12157390,4481000,0.3685824,368.58239999999995,1.3163999,,3404000,0.2799943,2799.9429999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1976,12425276,4624000,0.37214464,372.14464000000004,1.3623999,,3394000,0.2731529,2731.5289999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1977,12687308,4147000,0.3268621,326.8621,1.224,,3388000,0.26703852,2670.3852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1978,12938864,4382000,0.3386696,338.6696,1.2918999,,3392000,0.26215595,2621.5595000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1979,12986378,4214000,0.32449386,324.49386000000004,1.3237,,3183500,0.24514149,2451.4148999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1980,12486640,4072000,0.32610855,326.10855,1.349,,3018500,0.24173836,2417.3836,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1981,11155196,3893000,0.34898534,348.98533999999995,1.3383,,2909000,0.26077533,2607.7533000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1982,10088290,3724000,0.36914086,369.14086000000003,1.3302,,2799500,0.27749994,2774.9994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
